title,movie_rating,release_date,genre_name,director,writer,actors,imdb_rating,box_office,run_time
Cradle 2 the Grave,R,2003-02-28,Action,Andrzej Bartkowiak,John O'Brien,Jet Li,5.8,25000000.0,101.0
Uptown Girls,PG-13,2003-08-15,Comedy,Boaz Yakin,Julia Dahl,Brittany Murphy,6.2,20000000.0,92.0
A Mighty Wind,PG-13,2003-05-09,Comedy,Christopher Guest,Christopher Guest,Christopher Guest,7.2,0.0,91.0
Cold Creek Manor,R,2003-09-19,Drama,Mike Figgis,Richard Jefferies,Dennis Quaid,5.0,0.0,118.0
Calendar Girls,PG-13,2004-01-01,Comedy,Nigel Cole,Juliette Towhidi,Helen Mirren,6.9,10000000.0,108.0
Kal Ho Naa Ho,Not Rated,2003-11-28,Comedy,Nikkhil Advani,Niranjan Iyengar,Preity Zinta,7.9,0.0,186.0
View from the Top,PG-13,2003-03-21,Comedy,Bruno Barreto,Eric Wald,Gwyneth Paltrow,5.3,30000000.0,87.0
Malibu's Most Wanted,PG-13,2003-04-18,Comedy,John Whitesell,Fax Bahr,Jamie Kennedy,5.2,15000000.0,86.0
Kangaroo Jack,PG,2003-01-17,Action,David McNally,Steve Bing,Anthony Anderson,4.4,60000000.0,89.0
The Return,Not Rated,2003-06-25,Drama,Andrey Zvyagintsev,Vladimir Moiseenko,Vladimir Garin,8.0,0.0,110.0
Radio,PG,2003-10-24,Biography,Michael Tollin,Mike Rich,Cuba Gooding Jr.,6.9,35000000.0,109.0
The Recruit,PG-13,2003-01-31,Action,Roger Donaldson,Roger Towne,Al Pacino,6.6,46000000.0,115.0
Coffee and Cigarettes,R,2004-06-11,Comedy,Jim Jarmusch,Jim Jarmusch,Bill Murray,7.1,0.0,95.0
Young Adam,NC-17,2003-09-26,Crime,David Mackenzie,Alexander Trocchi,Ewan McGregor,6.4,6400000.0,98.0
Hollywood Homicide,PG-13,2003-06-13,Action,Ron Shelton,Robert Souza,Harrison Ford,5.3,75000000.0,116.0
Evil,Not Rated,2003-09-26,Drama,Mikael Håfström,Jan Guillou,Andreas Wilson,7.8,0.0,113.0
National Security,PG-13,2003-01-17,Action,Dennis Dugan,Jay Scherick,Martin Lawrence,5.6,0.0,88.0
The Triplets of Belleville,PG-13,2004-02-13,Animation,Sylvain Chomet,Sylvain Chomet,Michèle Caucheteux,7.8,9500000.0,80.0
Untold Scandal,0,2003-10-02,Drama,Je-yong Lee,Dae-woo Kim,Mi-sook Lee,6.9,0.0,124.0
Twentynine Palms,Unrated,2003-09-17,Drama,Bruno Dumont,Bruno Dumont,Yekaterina Golubeva,5.2,0.0,119.0
Stuck on You,PG-13,2003-12-12,Comedy,Bobby Farrelly,Charles B. Wessler,Matt Damon,5.7,55000000.0,118.0
Ned Kelly,R,2004-03-26,Action,Gregor Jordan,Robert Drewe,Heath Ledger,6.5,0.0,110.0
Tokyo Godfathers,PG-13,2003-11-08,Animation,Satoshi Kon,Satoshi Kon,Tôru Emori,7.8,0.0,92.0
Dorm Daze,R,2004-08-20,Comedy,David Hillenbrand,Pat Casey,Tatyana Ali,4.6,0.0,96.0
The Blind Swordsman: Zatoichi,R,2003-09-06,Action,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,7.5,0.0,116.0
Bright Young Things,R,2003-10-03,Comedy,Stephen Fry,Stephen Fry,Stephen Campbell Moore,6.6,0.0,102.0
Love Me If You Dare,R,2004-05-28,Comedy,Yann Samuell,Yann Samuell,Guillaume Canet,7.6,0.0,93.0
Bulletproof Monk,PG-13,2003-04-16,Action,Paul Hunter,Ethan Reiff,Chow Yun-Fat,5.5,52000000.0,104.0
Down with Love,PG-13,2003-05-16,Comedy,Peyton Reed,Eve Ahlert,Ewan McGregor,6.3,35000000.0,101.0
Biker Boyz,PG-13,2003-01-31,Action,Reggie Rock Bythewood,Michael Gougis,Laurence Fishburne,4.7,24000000.0,110.0
The Green Butchers,R,2003-03-21,Comedy,Anders Thomas Jensen,Anders Thomas Jensen,Nikolaj Lie Kaas,7.3,0.0,100.0
The Medallion,PG-13,2003-08-22,Action,Gordon Chan,Alfred Cheung,Jackie Chan,5.3,41000000.0,88.0
American Splendor,R,2003-09-12,Biography,Shari Springer Berman,Harvey Pekar,Paul Giamatti,7.4,0.0,101.0
The Shape of Things,R,2003-05-16,Comedy,Neil LaBute,Neil LaBute,Paul Rudd,6.7,4000000.0,96.0
Party Monster,R,2003-10-17,Biography,Fenton Bailey,Fenton Bailey,Macaulay Culkin,6.3,5000000.0,98.0
Bringing Down the House,PG-13,2003-03-07,Comedy,Adam Shankman,Jason Filardi,Steve Martin,5.6,33000000.0,105.0
Willard,PG-13,2003-03-14,Drama,Glen Morgan,Glen Morgan,Crispin Glover,6.1,20000000.0,100.0
Love Don't Cost a Thing,PG-13,2003-12-12,Comedy,Troy Byer,Michael Swerdlick,Nick Cannon,5.2,0.0,100.0
The Best of Youth,R,2003-06-20,Drama,Marco Tullio Giordana,Sandro Petraglia,Luigi Lo Cascio,8.5,0.0,366.0
The in-Laws,PG-13,2003-05-23,Action,Andrew Fleming,Andrew Bergman,Albert Brooks,5.7,40000000.0,98.0
Confidence,R,2003-04-25,Crime,James Foley,Doug Jung,Edward Burns,6.7,15000000.0,97.0
Latter Days,R,2004-07-01,Comedy,C. Jay Cox,C. Jay Cox,Wes Ramsey,7.0,850000.0,107.0
Beyond Borders,R,2003-10-24,Adventure,Martin Campbell,Caspian Tredwell-Owen,Clive Owen,6.5,35000000.0,127.0
It Runs in the Family,PG-13,2003-04-25,Comedy,Fred Schepisi,Jesse Wigutow,Kirk Douglas,5.6,0.0,109.0
Chasing Papi,PG,2003-04-16,Comedy,Linda Mendoza,Laura Angelica Simon,Eduardo Verástegui,4.8,0.0,80.0
The Fighting Temptations,PG-13,2003-09-19,Comedy,Jonathan Lynn,Elizabeth Hunter,Cuba Gooding Jr.,5.6,30000000.0,123.0
Anything Else,R,2003-09-19,Comedy,Woody Allen,Woody Allen,Woody Allen,6.3,18000000.0,108.0
I Capture the Castle,R,2003-08-08,Drama,Tim Fywell,Dodie Smith,Romola Garai,6.9,8000000.0,113.0
Camp,PG-13,2003-08-29,Comedy,Todd Graff,Todd Graff,Don Dixon,6.2,0.0,114.0
The Jungle Book 2,G,2003-02-14,Animation,Steve Trenbirth,Karl Geurs,John Goodman,5.4,20000000.0,72.0
My Boss's Daughter,PG-13,2003-08-22,Comedy,David Zucker,David Dorfman,Ashton Kutcher,4.7,14000000.0,86.0
A Guy Thing,PG-13,2003-01-17,Comedy,Chris Koch,Greg Glienna,Jason Lee,5.6,20000000.0,101.0
Intermission,R,2004-04-16,Comedy,John Crowley,Mark O'Rowe,Cillian Murphy,6.8,5000000.0,105.0
All the Real Girls,R,2003-08-01,Drama,David Gordon Green,David Gordon Green,Zooey Deschanel,6.8,2500000.0,108.0
From Justin to Kelly,PG,2003-06-20,Comedy,Robert Iscove,Kim Fuller,Kelly Clarkson,2.1,12000000.0,81.0
Owning Mahowny,R,2003-09-25,Crime,Richard Kwietniowski,Gary Stephen Ross,Philip Seymour Hoffman,7.1,10000000.0,104.0
Head of State,PG-13,2003-03-28,Comedy,Chris Rock,Chris Rock,Chris Rock,5.5,35200000.0,95.0
The Singing Detective,R,2003-11-14,Comedy,Keith Gordon,Dennis Potter,Robert Downey Jr.,5.5,8000000.0,109.0
Pieces of April,PG-13,2003-11-28,Comedy,Peter Hedges,Peter Hedges,Katie Holmes,7.0,300000.0,80.0
Code 46,R,2004-09-17,Drama,Michael Winterbottom,Frank Cottrell Boyce,Tim Robbins,6.2,7500000.0,93.0
Time of the Wolf,R,2003-10-08,Drama,Michael Haneke,Michael Haneke,Isabelle Huppert,6.6,0.0,114.0
Barely Legal,R,2006-05-25,Comedy,David Mickey Evans,David H. Steinberg,Erik von Detten,4.7,0.0,90.0
Nathalie...,0,2004-01-07,Drama,Anne Fontaine,Philippe Blasband,Fanny Ardant,6.3,0.0,100.0
The Order,R,2003-09-05,Horror,Brian Helgeland,Brian Helgeland,Heath Ledger,5.2,38000000.0,102.0
Gozu,R,2004-07-14,Crime,Takashi Miike,Sakichi Sato,Yûta Sone,7.0,0.0,129.0
Veronica Guerin,R,2003-10-17,Biography,Joel Schumacher,Carol Doyle,Cate Blanchett,6.9,17000000.0,98.0
Shade,R,2004-05-09,Crime,Damian Nieman,Damian Nieman,Joe Nicolo,6.3,10000000.0,101.0
The Mother,R,2004-06-18,Drama,Roger Michell,Hanif Kureishi,Anne Reid,6.8,2500000.0,112.0
Sylvia,R,2003-10-31,Biography,Christine Jeffs,John Brownlow,Gwyneth Paltrow,6.3,0.0,100.0
Rugrats Go Wild,PG,2003-06-13,Animation,John Eng,Kate Boutilier,Jodi Carlisle,5.6,25000000.0,80.0
The Divorce,PG-13,2003-08-29,Comedy,James Ivory,Diane Johnson,Kate Hudson,4.9,0.0,117.0
Luther,PG-13,2003-09-26,Biography,Eric Till,Camille Thomasson,Joseph Fiennes,6.6,30000000.0,123.0
Pride and Prejudice,PG,2003-12-05,Comedy,Andrew Black,Jane Austen,Kam Heskin,5.1,0.0,104.0
Saints and Soldiers,PG-13,2005-03-25,Action,Ryan Little,Geoffrey Panos,Corbin Allred,6.7,780000.0,90.0
Carandiru,R,2003-04-11,Drama,Hector Babenco,Hector Babenco,Enrique Diaz,7.6,0.0,145.0
Taxi 3,Not Rated,2003-01-29,Action,Gérard Krawczyk,Luc Besson,Samy Naceri,5.8,1300000.0,84.0
My Life Without Me,R,2003-03-07,Drama,Isabel Coixet,Isabel Coixet,Sarah Polley,7.5,0.0,106.0
The Company,PG-13,2004-05-07,Drama,Robert Altman,Neve Campbell,Neve Campbell,6.3,15000000.0,112.0
The Barbarian Invasions,R,2004-03-05,Comedy,Denys Arcand,Denys Arcand,Rémy Girard,7.6,0.0,99.0
Good Boy,PG,2003-10-10,Comedy,John Hoffman,Zeke Richardson,Liam Aiken,5.1,18000000.0,87.0
The United States of Leland,R,2005-03-25,Drama,Matthew Ryan Hoge,Matthew Ryan Hoge,Ryan Gosling,7.0,0.0,108.0
How to Deal,PG-13,2003-07-18,Comedy,Clare Kilner,Sarah Dessen,Mandy Moore,5.6,16000000.0,101.0
It's All About Love,R,2003-01-10,Drama,Thomas Vinterberg,Mogens Rukov,Joaquin Phoenix,5.4,0.0,106.0
Masked and Anonymous,PG-13,2003-08-08,Comedy,Larry Charles,Bob Dylan,Bob Dylan,5.4,0.0,112.0
Control,R,2003-11-20,Comedy,Nimród Antal,Jim Adler,Sándor Csányi,7.6,0.0,111.0
The Girl Next Door,R,2004-04-09,Comedy,Luke Greenfield,David Wagner,Emile Hirsch,6.7,25000000.0,109.0
EuroTrip,R,2004-02-20,Comedy,Jeff Schaffer,Alec Berg,Scott Mechlowicz,6.6,25000000.0,92.0
Dodgeball: A True Underdog Story,PG-13,2004-06-18,Comedy,Rawson Marshall Thurber,Rawson Marshall Thurber,Ben Stiller,6.7,20000000.0,92.0
White Chicks,PG-13,2004-06-23,Comedy,Keenen Ivory Wayans,Keenen Ivory Wayans,Marlon Wayans,5.6,37000000.0,109.0
Mean Girls,PG-13,2004-04-30,Comedy,Mark Waters,Rosalind Wiseman,Lindsay Lohan,7.0,17000000.0,97.0
Harry Potter and the Prisoner of Azkaban,PG,2004-06-04,Adventure,Alfonso Cuarón,J.K. Rowling,Daniel Radcliffe,7.9,130000000.0,142.0
Troy,R,2004-05-14,Drama,Wolfgang Petersen,Homer,Brad Pitt,7.2,175000000.0,163.0
Eternal Sunshine of the Spotless Mind,R,2004-03-19,Drama,Michel Gondry,Charlie Kaufman,Jim Carrey,8.3,20000000.0,108.0
Kill Bill: Vol. 2,R,2004-04-16,Action,Quentin Tarantino,Quentin Tarantino,Uma Thurman,8.0,30000000.0,137.0
The Notebook,PG-13,2004-06-25,Drama,Nick Cassavetes,Jeremy Leven,Gena Rowlands,7.8,29000000.0,123.0
The Terminal,PG-13,2004-06-18,Comedy,Steven Spielberg,Andrew Niccol,Tom Hanks,7.4,60000000.0,128.0
Van Helsing,PG-13,2004-05-07,Action,Stephen Sommers,Stephen Sommers,Hugh Jackman,6.1,160000000.0,131.0
The Incredibles,PG,2004-11-05,Animation,Brad Bird,Brad Bird,Craig T. Nelson,8.0,92000000.0,115.0
Saw,R,2004-10-29,Horror,James Wan,Leigh Whannell,Cary Elwes,7.6,1200000.0,103.0
Collateral,R,2004-08-06,Crime,Michael Mann,Stuart Beattie,Tom Cruise,7.5,65000000.0,120.0
The Aviator,PG-13,2004-12-25,Biography,Martin Scorsese,John Logan,Leonardo DiCaprio,7.5,110000000.0,170.0
Spider-Man 2,PG-13,2004-06-30,Action,Sam Raimi,Stan Lee,Tobey Maguire,7.3,200000000.0,127.0
The Punisher,R,2004-04-16,Action,Jonathan Hensleigh,Jonathan Hensleigh,Thomas Jane,6.4,33000000.0,124.0
"I, Robot",PG-13,2004-07-16,Action,Alex Proyas,Jeff Vintar,Will Smith,7.1,120000000.0,115.0
Howl's Moving Castle,PG,2005-06-17,Animation,Hayao Miyazaki,Hayao Miyazaki,Chieko Baishô,8.2,24000000.0,119.0
Spanglish,PG-13,2004-12-17,Comedy,James L. Brooks,James L. Brooks,Adam Sandler,6.4,80000000.0,131.0
Million Dollar Baby,PG-13,2005-01-28,Drama,Clint Eastwood,Paul Haggis,Hilary Swank,8.1,30000000.0,132.0
Shaun of the Dead,R,2004-09-24,Comedy,Edgar Wright,Simon Pegg,Simon Pegg,7.9,0.0,99.0
The Village,PG-13,2004-07-30,Drama,M. Night Shyamalan,M. Night Shyamalan,Sigourney Weaver,6.5,60000000.0,108.0
My Summer of Love,R,2005-07-01,Drama,Pawel Pawlikowski,Helen Cross,Natalie Press,6.7,0.0,86.0
The Butterfly Effect,R,2004-01-23,Drama,Eric Bress,J. Mackye Gruber,Ashton Kutcher,7.6,13000000.0,113.0
The Day After Tomorrow,PG-13,2004-05-28,Action,Roland Emmerich,Roland Emmerich,Dennis Quaid,6.4,125000000.0,124.0
Layer Cake,R,2005-06-03,Action,Matthew Vaughn,J.J. Connolly,Daniel Craig,7.3,0.0,105.0
Napoleon Dynamite,PG,2004-08-27,Comedy,Jared Hess,Jared Hess,Jon Heder,6.9,400000.0,96.0
50 First Dates,PG-13,2004-02-13,Comedy,Peter Segal,George Wing,Adam Sandler,6.8,75000000.0,99.0
Man on Fire,R,2004-04-23,Action,Tony Scott,A.J. Quinnell,Denzel Washington,7.7,70000000.0,146.0
Downfall,R,2005-04-08,Biography,Oliver Hirschbiegel,Bernd Eichinger,Bruno Ganz,8.2,0.0,156.0
13 Going on 30,PG-13,2004-04-23,Comedy,Gary Winick,Josh Goldsmith,Jennifer Garner,6.2,37000000.0,98.0
Shrek 2,PG,2004-05-19,Animation,Andrew Adamson,William Steig,Mike Myers,7.2,150000000.0,93.0
Crash,R,2005-05-06,Crime,Paul Haggis,Paul Haggis,Don Cheadle,7.7,6500000.0,112.0
The Bourne Supremacy,PG-13,2004-07-23,Action,Paul Greengrass,Robert Ludlum,Matt Damon,7.7,75000000.0,108.0
Dawn of the Dead,R,2004-03-19,Action,Zack Snyder,George A. Romero,Sarah Polley,7.3,26000000.0,101.0
The Passion of the Christ,R,2004-02-25,Drama,Mel Gibson,Benedict Fitzgerald,Jim Caviezel,7.2,30000000.0,127.0
Resident Evil: Apocalypse,R,2004-09-10,Action,Alexander Witt,Paul W.S. Anderson,Milla Jovovich,6.2,45000000.0,94.0
Hellboy,PG-13,2004-04-02,Action,Guillermo del Toro,Guillermo del Toro,Ron Perlman,6.8,66000000.0,122.0
Anchorman: The Legend of Ron Burgundy,PG-13,2004-07-09,Comedy,Adam McKay,Will Ferrell,Will Ferrell,7.2,26000000.0,94.0
Walking Tall,PG-13,2004-04-02,Action,Kevin Bray,Mort Briskin,Dwayne Johnson,6.3,46000000.0,86.0
The Life Aquatic with Steve Zissou,R,2004-12-25,Action,Wes Anderson,Wes Anderson,Bill Murray,7.3,50000000.0,119.0
A Series of Unfortunate Events,PG,2004-12-17,Adventure,Brad Silberling,Robert Gordon,Jim Carrey,6.8,140000000.0,108.0
The Machinist,R,2004-12-03,Drama,Brad Anderson,Scott Kosar,Christian Bale,7.7,5000000.0,101.0
The Phantom of the Opera,PG-13,2004-12-10,Drama,Joel Schumacher,Gaston Leroux,Gerard Butler,7.2,70000000.0,143.0
Closer,R,2004-12-03,Drama,Mike Nichols,Patrick Marber,Natalie Portman,7.2,27000000.0,104.0
National Treasure,PG,2004-11-19,Action,Jon Turteltaub,Jim Kouf,Nicolas Cage,6.9,100000000.0,131.0
Alexander,R,2004-11-24,Action,Oliver Stone,Oliver Stone,Colin Farrell,5.6,155000000.0,175.0
The Chronicles of Riddick,R,2004-06-11,Action,David Twohy,Jim Wheat,Vin Diesel,6.7,105000000.0,119.0
9 Songs,Not Rated,2005-03-11,Drama,Michael Winterbottom,Michael Winterbottom,Kieran O'Brien,4.8,0.0,71.0
The Manchurian Candidate,R,2004-07-30,Drama,Jonathan Demme,Richard Condon,Denzel Washington,6.6,80000000.0,129.0
King Arthur,PG-13,2004-07-07,Action,Antoine Fuqua,David Franzoni,Clive Owen,6.3,120000000.0,126.0
Ocean's Twelve,PG-13,2004-12-10,Crime,Steven Soderbergh,George Nolfi,George Clooney,6.5,110000000.0,125.0
Harold & Kumar Go to White Castle,R,2004-07-30,Adventure,Danny Leiner,Jon Hurwitz,John Cho,7.0,9000000.0,88.0
Blade: Trinity,R,2004-12-08,Action,David S. Goyer,David S. Goyer,Wesley Snipes,5.8,65000000.0,113.0
Alien vs. Predator,PG-13,2004-08-13,Action,Paul W.S. Anderson,Dan O'Bannon,Sanaa Lathan,5.6,60000000.0,101.0
Meet the Fockers,PG-13,2004-12-22,Comedy,Jay Roach,Greg Glienna,Ben Stiller,6.3,80000000.0,115.0
Sideways,R,2004-10-22,Comedy,Alexander Payne,Rex Pickett,Paul Giamatti,7.5,16000000.0,127.0
Friday Night Lights,PG-13,2004-10-08,Action,Peter Berg,Buzz Bissinger,Billy Bob Thornton,7.2,30000000.0,118.0
Starsky & Hutch,PG-13,2004-03-05,Comedy,Todd Phillips,William Blinn,Ben Stiller,6.1,60000000.0,101.0
Shark Tale,PG,2004-10-01,Animation,Bibo Bergeron,Michael J. Wilson,Will Smith,6.0,75000000.0,90.0
Before Sunset,R,2004-07-30,Drama,Richard Linklater,Richard Linklater,Ethan Hawke,8.1,2700000.0,80.0
Ella Enchanted,PG,2004-04-09,Comedy,Tommy O'Haver,Laurie Craig,Anne Hathaway,6.3,31000000.0,96.0
Primer,PG-13,2005-05-27,Drama,Shane Carruth,Shane Carruth,Shane Carruth,6.9,7000.0,77.0
A Cinderella Story,PG,2004-07-16,Comedy,Mark Rosman,Leigh Dunlap,Hilary Duff,5.9,19000000.0,95.0
Along Came Polly,PG-13,2004-01-16,Comedy,John Hamburg,John Hamburg,Ben Stiller,6.0,42000000.0,90.0
Somersault,Not Rated,2004-09-16,Drama,Cate Shortland,Cate Shortland,Abbie Cornish,6.7,0.0,106.0
The SpongeBob SquarePants Movie,PG,2004-11-19,Animation,Stephen Hillenburg,Derek Drymon,Tom Kenny,7.1,30000000.0,87.0
Scooby-Doo 2: Monsters Unleashed,PG,2004-03-26,Adventure,Raja Gosnell,William Hanna,Freddie Prinze Jr.,5.1,80000000.0,93.0
The Ladykillers,R,2004-03-26,Comedy,Ethan Coen,Joel Coen,Tom Hanks,6.2,35000000.0,104.0
Hotel Rwanda,PG-13,2005-02-04,Biography,Terry George,Keir Pearson,Don Cheadle,8.1,17500000.0,121.0
Taking Lives,R,2004-03-19,Crime,D.J. Caruso,Michael Pye,Angelina Jolie,6.2,45000000.0,103.0
Kung Fu Hustle,R,2005-04-22,Action,Stephen Chow,Stephen Chow,Stephen Chow,7.7,20000000.0,99.0
The Perfect Score,PG-13,2004-01-30,Comedy,Brian Robbins,Marc Hyman,Scarlett Johansson,5.7,40000000.0,93.0
Garden State,R,2004-08-20,Comedy,Zach Braff,Zach Braff,Zach Braff,7.4,2500000.0,102.0
The Princess Diaries 2: Royal Engagement,G,2004-08-11,Comedy,Garry Marshall,Meg Cabot,Anne Hathaway,5.8,40000000.0,113.0
Twisted,R,2004-02-27,Crime,Philip Kaufman,Sarah Thorp,Ashley Judd,5.3,50000000.0,97.0
Catwoman,PG-13,2004-07-23,Action,Pitof,Bob Kane,Halle Berry,3.4,100000000.0,104.0
Seed of Chucky,R,2004-11-12,Comedy,Don Mancini,Don Mancini,Jennifer Tilly,4.8,12000000.0,87.0
2046,R,2004-09-29,Drama,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,7.4,12000000.0,129.0
Torque,PG-13,2004-01-16,Action,Joseph Kahn,Matt Johnson,Martin Henderson,4.1,40000000.0,84.0
Ray,PG-13,2004-10-29,Biography,Taylor Hackford,Taylor Hackford,Jamie Foxx,7.7,40000000.0,152.0
Chasing Liberty,PG-13,2004-01-09,Comedy,Andy Cadiff,Derek Guiley,Mandy Moore,6.1,23000000.0,111.0
Secret Window,PG-13,2004-03-12,Drama,David Koepp,Stephen King,Johnny Depp,6.5,40000000.0,96.0
Bride & Prejudice,PG-13,2005-03-11,Comedy,Gurinder Chadha,Jane Austen,Martin Henderson,6.2,7000000.0,122.0
Finding Neverland,PG,2004-12-17,Biography,Marc Forster,Allan Knee,Johnny Depp,7.7,25000000.0,106.0
Team America: World Police,R,2004-10-15,Action,Trey Parker,Trey Parker,Trey Parker,7.2,32000000.0,98.0
Sleepover,PG,2004-07-09,Comedy,Joe Nussbaum,Elisa Bell,Alexa PenaVega,5.4,10000000.0,89.0
The Grudge,PG-13,2004-10-22,Horror,Takashi Shimizu,Stephen Susco,Sarah Michelle Gellar,5.9,10000000.0,91.0
Around the World in 80 Days,PG,2004-06-16,Action,Frank Coraci,Jules Verne,Jackie Chan,5.9,110000000.0,120.0
Wimbledon,PG-13,2004-09-17,Comedy,Richard Loncraine,Adam Brooks,Kirsten Dunst,6.3,31000000.0,98.0
The Adventures of Sharkboy and Lavagirl 3-D,PG,2005-06-10,Action,Robert Rodriguez,Robert Rodriguez,Cayden Boyd,3.7,50000000.0,93.0
The Polar Express,G,2004-11-10,Animation,Robert Zemeckis,Chris Van Allsburg,Tom Hanks,6.6,165000000.0,100.0
Without a Paddle,PG-13,2004-08-20,Adventure,Steven Brill,Fred Wolf,Matthew Lillard,5.9,19000000.0,95.0
Miracle,PG,2004-02-06,Biography,Gavin O'Connor,Eric Guggenheim,Kurt Russell,7.5,28000000.0,135.0
Mindhunters,R,2005-05-13,Crime,Renny Harlin,Wayne Kramer,Val Kilmer,6.4,27000000.0,106.0
Mysterious Skin,Unrated,2005-06-24,Drama,Gregg Araki,Gregg Araki,Brady Corbet,7.6,0.0,105.0
The Prince and Me,PG,2004-04-02,Comedy,Martha Coolidge,Mark Amin,Julia Stiles,5.9,22000000.0,111.0
Taxi,PG-13,2004-10-06,Action,Tim Story,Luc Besson,Queen Latifah,4.5,25000000.0,97.0
Wicker Park,PG-13,2004-09-03,Drama,Paul McGuigan,Gilles Mimouni,Josh Hartnett,7.0,30000000.0,114.0
Cellular,PG-13,2004-09-10,Action,David R. Ellis,Larry Cohen,Kim Basinger,6.5,25000000.0,94.0
Kinsey,R,2005-01-07,Biography,Bill Condon,Bill Condon,Liam Neeson,7.1,11000000.0,118.0
Anacondas: The Hunt for the Blood Orchid,PG-13,2004-08-27,Action,Dwight H. Little,Hans Bauer,Morris Chestnut,4.7,20000000.0,97.0
The Heart Is Deceitful Above All Things,R,2005-01-19,Drama,Asia Argento,Laura Albert,Asia Argento,6.4,0.0,97.0
Confessions of a Teenage Drama Queen,PG,2004-02-20,Comedy,Sara Sugarman,Dyan Sheldon,Lindsay Lohan,4.7,15000000.0,89.0
Raising Helen,PG-13,2004-05-28,Comedy,Garry Marshall,Patrick J. Clifton,Kate Hudson,6.0,50000000.0,119.0
Fat Albert,PG,2004-12-25,Comedy,Joel Zwick,Bill Cosby,Kenan Thompson,4.3,26000000.0,93.0
Sky Captain and the World of Tomorrow,PG,2004-09-17,Action,Kerry Conran,Kerry Conran,Gwyneth Paltrow,6.0,70000000.0,106.0
The Final Cut,PG-13,2004-10-15,Drama,Omar Naim,Omar Naim,Robin Williams,6.2,0.0,95.0
The Stepford Wives,PG-13,2004-06-11,Comedy,Frank Oz,Ira Levin,Nicole Kidman,5.3,90000000.0,93.0
Shall We Dance,PG-13,2004-10-15,Comedy,Peter Chelsom,Masayuki Suô,Richard Gere,6.1,50000000.0,106.0
House of Flying Daggers,PG-13,2005-01-14,Action,Yimou Zhang,Feng Li,Ziyi Zhang,7.5,0.0,119.0
District B13,R,2006-06-02,Action,Pierre Morel,Luc Besson,Cyril Raffaelli,7.1,0.0,84.0
Dead Man's Shoes,Not Rated,2004-10-01,Crime,Shane Meadows,Paddy Considine,Paddy Considine,7.6,0.0,90.0
After the Sunset,PG-13,2004-11-12,Action,Brett Ratner,Paul Zbyszewski,Pierce Brosnan,6.3,60000000.0,97.0
A Very Long Engagement,R,2005-01-14,Drama,Jean-Pierre Jeunet,Sébastien Japrisot,Audrey Tautou,7.6,56600000.0,133.0
The Forgotten,PG-13,2004-09-24,Drama,Joseph Ruben,Gerald Di Pego,Julianne Moore,5.8,42000000.0,91.0
Flight of the Phoenix,PG-13,2004-12-17,Action,John Moore,Lukas Heller,Dennis Quaid,6.1,45000000.0,113.0
Saved!,PG-13,2004-06-11,Comedy,Brian Dannelly,Brian Dannelly,Jena Malone,6.7,5000000.0,92.0
Garfield,PG,2004-06-11,Animation,Peter Hewitt,Jim Davis,Breckin Meyer,5.0,50000000.0,80.0
In Good Company,PG-13,2005-01-14,Comedy,Paul Weitz,Paul Weitz,Dennis Quaid,6.4,26000000.0,109.0
First Daughter,PG,2004-09-24,Comedy,Forest Whitaker,Jessica Bendinger,Katie Holmes,5.1,30000000.0,106.0
Jersey Girl,PG-13,2004-03-26,Comedy,Kevin Smith,Kevin Smith,Ben Affleck,6.2,35000000.0,102.0
The Alamo,PG-13,2004-04-09,Drama,John Lee Hancock,Leslie Bohem,Dennis Quaid,6.0,107000000.0,137.0
A Love Song for Bobby Long,R,2005-01-21,Drama,Shainee Gabel,Ronald Everett Capps,Scarlett Johansson,7.1,0.0,119.0
Raise Your Voice,PG,2004-10-08,Family,Sean McNamara,Mitch Rotter,Hilary Duff,5.9,15000000.0,103.0
Hidalgo,PG-13,2004-03-05,Action,Joe Johnston,John Fusco,Viggo Mortensen,6.7,100000000.0,136.0
Bridget Jones: The Edge of Reason,R,2004-11-19,Comedy,Beeban Kidron,Helen Fielding,Renée Zellweger,6.0,40000000.0,108.0
Mean Creek,R,2004-09-29,Crime,Jacob Estes,Jacob Estes,Rory Culkin,7.2,500000.0,90.0
Dirty Dancing: Havana Nights,PG-13,2004-02-27,Drama,Guy Ferland,Kate Gunzinger,Diego Luna,6.0,25000000.0,86.0
D.E.B.S.,PG-13,2005-03-25,Action,Angela Robinson,Angela Robinson,Sara Foster,5.3,3500000.0,91.0
The Motorcycle Diaries,R,2004-10-15,Adventure,Walter Salles,Ernesto 'Che' Guevara,Gael García Bernal,7.8,0.0,126.0
Club Dread,R,2004-02-27,Comedy,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar,5.7,8600000.0,104.0
Eros,R,2004-12-03,Drama,Michelangelo Antonioni,Kar-Wai Wong,Robert Downey Jr.,6.0,0.0,104.0
Bad Education,NC-17,2005-02-11,Crime,Pedro Almodóvar,Pedro Almodóvar,Gael García Bernal,7.4,5000000.0,106.0
Soul Plane,R,2004-05-28,Comedy,Jessy Terrero,Bo Zenga,Dwayne Adway,4.5,16000000.0,86.0
3-Iron,R,2004-10-15,Crime,Kim Ki-duk,Kim Ki-duk,Seung-Yun Lee,8.0,1000000.0,88.0
