movie_id,title,movie_rating,release_date,runtime,genre_name,Director,Writer,Actors,Language,metascore,imdb_rating,BoxOffice
0,Spider-Man: No Way Home,PG-13,2021-12-17,148 min,"Action, Adventure, Fantasy",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch",English,71.0,8.7,720891602
1,Shang-Chi and the Legend of the Ten Rings,PG-13,2021-09-03,132 min,"Action, Adventure, Fantasy",Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Chiu-Wai Leung","English, Mandarin",71.0,7.5,224543292
2,Venom: Let There Be Carnage,PG-13,2021-10-01,97 min,"Action, Adventure, Sci-Fi",Andy Serkis,"Kelly Marcel, Tom Hardy","Tom Hardy, Woody Harrelson, Michelle Williams",English,49.0,6.0,213550366
3,Black Widow,PG-13,2021-07-09,134 min,"Action, Adventure, Sci-Fi",Cate Shortland,"Eric Pearson, Jac Schaeffer, Ned Benson","Scarlett Johansson, Florence Pugh, David Harbour","English, Russian, Norwegian, Hungarian, Macedonian, Finnish",67.0,6.7,183651655
4,F9: The Fast Saga,PG-13,2021-06-25,143 min,"Action, Crime, Thriller",Justin Lin,"Daniel Casey, Justin Lin, Alfredo Botello","Vin Diesel, Michelle Rodriguez, Jordana Brewster",English,58.0,5.2,173005945
5,Eternals,PG-13,2021-11-05,156 min,"Action, Adventure, Fantasy",Chloé Zhao,"Chloé Zhao, Patrick Burleigh, Ryan Firpo","Gemma Chan, Richard Madden, Angelina Jolie","English, American Sign , Marathi, Spanish, Sumerian, Latin, Greek, Ancient (to 1453)",52.0,6.4,164870234
6,No Time to Die,PG-13,2021-10-08,163 min,"Action, Adventure, Thriller",Cary Joji Fukunaga,"Neal Purvis, Robert Wade, Cary Joji Fukunaga","Daniel Craig, Ana de Armas, Rami Malek","English, French, Italian, Russian, Spanish, German",68.0,7.3,160891007
7,Sing 2,PG,2021-12-22,110 min,"Animation, Adventure, Comedy",Garth Jennings,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson",English,49.0,7.6,129708860
8,Ghostbusters: Afterlife,PG-13,2021-11-19,124 min,"Adventure, Comedy, Fantasy",Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd","Carrie Coon, Paul Rudd, Finn Wolfhard",English,45.0,7.2,128885266
9,Free Guy,PG-13,2021-08-13,115 min,"Action, Adventure, Comedy",Shawn Levy,"Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Taika Waititi","English, Japanese, German",62.0,7.2,121626598
