Title,Year,Rated,Released,Genre,Director,Writer,Actors,Language,Metascore,imdbRating,BoxOffice,Runtime
After We Fell,2021,R,2021-10-22,"Drama, Romance",Castille Landon,"Anna Todd, Sharon Soboil","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard",English,0.0,4.7,0,98 min
The Father,2021,0,2021-03-21,"Short, Drama",Blake Ridder,Blake Ridder,"Louis James, Stewart Permutt, Blake Ridder",English,0.0,0.0,1926706,0
Queen Bees,2021,PG-13,2021-06-11,"Comedy, Drama, Romance",Michael Lembeck,"Donald Martin, Harrison Powell","Ellen Burstyn, Jane Curtin, Loretta Devine",English,52.0,6.2,1782909,100 min
Show Me the Father,2021,PG,2021-09-10,"Documentary, Drama",Rick Altizer,0,"Jim Daly, Jonathan Evans, Tony Evans",English,0.0,6.4,1442988,91 min
Point of View: A Designer Profile,2021,0,2021-03-14,0,0,0,"Brian Patrick Flynn, Jean Stoffer, Lauren Bradshaw",English,0.0,0.0,1437938,0
Titane,2021,R,2021-10-01,"Drama, Horror, Sci-Fi",Julia Ducournau,"Julia Ducournau, Jacques Akchoti, Simonetta Greggio","Vincent Lindon, Agathe Rousselle, Garance Marillier",French,75.0,6.7,1800000,108 min
Together Together,2021,R,2021-04-23,Comedy,Nikole Beckwith,Nikole Beckwith,"Patti Harrison, Ed Helms, Rosalind Chao",English,70.0,6.5,1251184,90 min
Honsla Rakh,2021,0,2021-11-24,"Comedy, Drama, Romance",Amarjit Singh Saron,Rakesh Dhawan,"Diljit Dosanjh, Shehnaaz Gill, Sonam Bajwa",Punjabi,0.0,8.0,1113723,145 min
Wrong Turn,2021,R,2021-02-26,"Horror, Thriller",Mike P. Nelson,Alan B. McElroy,"Charlotte Vega, Adain Bradley, Bill Sage",English,46.0,5.5,1023086,109 min
In the Earth,2021,R,2021-04-16,"Horror, Sci-Fi, Thriller",Ben Wheatley,Ben Wheatley,"Joel Fry, Reece Shearsmith, Hayley Squires",English,63.0,5.2,1038255,107 min
Red Rocket,2021,R,2021-12-17,"Comedy, Drama",Sean Baker,"Sean Baker, Chris Bergoch","Simon Rex, Bree Elrod, Suzanna Son",English,75.0,7.4,1018532,130 min
True to the Game 3,2021,R,2021-12-03,"Romance, Thriller",David Wolfgang,Jeff Robertson,"Malik Barnhardt, Starletta DuPois, Omar Gooding",English,0.0,4.8,1016725,98 min
Long Weekend,2021,R,2021-03-12,"Comedy, Romance",Steve Basilone,Steve Basilone,"Steve Basilone, Jennifer Irwin, Jess Jacobs",English,53.0,6.1,855765,91 min
The Jesus Music,2021,PG-13,2021-10-01,Documentary,"Andrew Erwin, Jon Erwin","Jon Erwin, Bekah Hubbell","Kirk Franklin, Amy Grant, Kevin Max",English,42.0,7.0,844743,109 min
Witnesses,2021,PG,2021-06-04,"Action, Adventure, Drama",Mark Goodman,Mitch Davis,"Michael Zuccola, Caleb J. Spivak, Lincoln Hoppe",English,0.0,4.2,836536,110 min
The Alpinist,2021,PG-13,2021-09-10,Documentary,"Peter Mortimer, Nick Rosen",0,"Marc-André Leclerc, Peter Mortimer, Alex Honnold",English,67.0,8.0,738175,92 min
The Mauritanian,2021,R,2021-03-02,"Biography, Drama, Thriller",Kevin Macdonald,"Michael Bronner, Rory Haines, Sohrab Noshirvani","Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud","English, French, Arabic, German",53.0,7.5,1060556,129 min
Blue Bayou,2021,R,2021-09-17,Drama,Justin Chon,Justin Chon,"Justin Chon, Alicia Vikander, Mark O'Brien",English,58.0,7.1,744813,117 min
The Rescue,2021,PG,2021-10-08,"Documentary, Action, Mystery","Jimmy Chin, Elizabeth Chai Vasarhelyi",0,"Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan",English,0.0,8.4,637665,107 min
Lamb of God: The Concert Film,2021,0,2021-03-12,Musical,Rob Gardner,Rob Gardner,"Casey Elliott, Katherine Thomas, Tyler Hardwick",English,0.0,8.5,575783,90 min
The Sparks Brothers,2021,R,2021-06-18,"Documentary, Biography, Comedy",Edgar Wright,0,"Ron Mael, Russell Mael, Beck",English,80.0,7.9,480774,140 min
Werewolves Within,2021,R,2021-07-02,"Comedy, Horror, Mystery",Josh Ruben,Mishna Wolff,"Sam Richardson, Milana Vayntrub, George Basil",English,66.0,6.0,475488,97 min
For the Love of Money,2021,R,2021-10-20,"Drama, Thriller",Leslie Small,"Timothy Allen Smith, Zadia Ife, Leslie Small","Katt Williams, Keri Hilson, Rotimi",English,0.0,6.0,470000,99 min
National Champions,2021,R,2021-12-10,"Drama, Sport",Ric Roman Waugh,Adam Mervis,"Stephan James, J.K. Simmons, Alexander Ludwig",English,52.0,5.6,445740,116 min
Jathi Ratnalu,2021,0,2021-03-11,Comedy,Anudeep K.V.,Anudeep K.V.,"Naveen Polishetty, Rahul Ramakrishna, Priyadarshi",Telugu,0.0,7.6,424667,145 min
The Lost Leonardo,2021,PG-13,2021-08-13,Documentary,Andreas Koefoed,"Andreas Dalsgaard, Christian Kirk Muff, Andreas Koefoed","Jerry Saltz, Robert K. Wittman, Doug Patteson","English, French",79.0,7.6,418286,96 min
Flag Day,2021,R,2021-08-20,"Crime, Drama",Sean Penn,"Jez Butterworth, Jennifer Vogel, John-Henry Butterworth","Mitchell McCormick, Tom Anniko, Dylan Penn",English,53.0,4.9,0,109 min
Willy's Wonderland,2021,TV-MA,2021-02-12,"Action, Comedy, Horror",Kevin Lewis,G.O. Parsons,"Nicolas Cage, Emily Tosta, Beth Grant",English,44.0,5.5,395743,88 min
Dreamland: The Burning of Black Wall Street,2021,0,2021-05-31,Documentary,Salima Koroma,0,"Alicia Odewale, Hannibal Johnson, Kary Stacklebeck",English,0.0,6.7,353224,98 min
Julia,2021,PG-13,2022-03-18,Documentary,"Julie Cohen, Betsy West",0,"José Andrés, Antonietta Brownell, Julia Child",English,71.0,7.6,350000,95 min
Benedetta,2021,Unrated,2021-12-03,"Biography, Drama, History",Paul Verhoeven,"David Birke, Paul Verhoeven, Judith C. Brown","Virginie Efira, Charlotte Rampling, Daphne Patakia","French, Latin",73.0,6.7,100094,131 min
Bo Gia,2021,0,2021-03-12,"Comedy, Drama, Family","Tran Thanh, Ngoc Dang Vu","Ho Thuc An, Nhi Bui","Tran Thanh, Tuan Tran, Ngan Chi",Vietnamese,0.0,6.7,404371,128 min
Flee,2021,PG-13,2021-06-17,"Documentary, Animation",Jonas Poher Rasmussen,"Amin Nawabi, Jonas Poher Rasmussen","Daniel Karimyar, Fardin Mijdzadeh, Milad Eskandari","Danish, English, Dari, Russian, Swedish",90.0,8.1,288714,89 min
Dutch,2021,R,2021-03-12,Action,Preston A. Whitmore II,"Preston A. Whitmore II, Teri Woods","Natasha Marc, Iyana Halley, Malcolm David Kelley",English,0.0,3.7,269435,109 min
India Sweets and Spices,2021,PG-13,2021-06-12,Comedy,Geeta Malik,Geeta Malik,"Sophia Ali, Manisha Koirala, Rish Shah",English,57.0,6.0,264626,101 min
A Mouthful of Air,2021,R,2021-10-29,Drama,Amy Koppelman,Amy Koppelman,"Amanda Seyfried, Olivia Katz, Christian Kutz",English,52.0,6.0,254775,105 min
Rita Moreno: Just a Girl Who Decided to Go for It,2021,PG-13,2021-06-18,"Documentary, Biography",Mariem Pérez Riera,0,"Lin-Manuel Miranda, Morgan Freeman, Marlon Brando",English,77.0,7.7,0,90 min
Once I Was Engaged,2021,0,2021-07-21,Comedy,"Maclain Nelson, Stephen Shimek",Maclain Nelson,"Bart Johnson, Paris Warner, Clare Niederpruem",0,0.0,7.0,231687,107 min
Supernova,2021,0,2021-07-23,"Short, Drama",Lorenzo Baldi,Lorenzo Baldi,"Jules Baron, Paul Samrani",French,0.0,0.0,0,0
Becoming Cousteau,2021,PG-13,2021-11-24,"Documentary, Adventure, Biography",Liz Garbus,"Mark Monroe, Pax Wassermann","Vincent Cassel, Carol Burnett, Louis Malle","English, French",74.0,7.1,0,94 min
Limbo,2021,0,2021-11-18,Drama,Soi Cheang,Kin-Yee Au,"Ka-Tung Lam, Yase Liu, Mason Lee","Chinese, Cantonese",0.0,7.2,214390,118 min
Doctor,2021,0,2021-10-09,"Action, Comedy, Crime",Nelson Dilipkumar,Nelson Dilipkumar,"Sivakarthikeyan, Vinay Rai, Priyanka Arulmohan",Tamil,0.0,7.6,0,148 min
Together,2021,R,2021-08-27,"Comedy, Drama","Stephen Daldry, Justin Martin",Dennis Kelly,"James McAvoy, Sharon Horgan, Samuel Logan",English,59.0,6.4,204513,92 min
La Piscine,2021,0,2021-05-14,0,0,0,0,0,0.0,0.0,191996,0
Ailey,2021,PG-13,2021-07-23,"Documentary, Biography",Jamila Wignot,0,"Alvin Ailey, Judith Jamison, Samuel Lee Roberts",English,77.0,6.9,0,95 min
The Resort,2021,0,2021-07-12,Horror,Taylor Chien,Taylor Chien,"Bianca Haase, Brock O'Hurn, Michael Vlamis",English,0.0,3.0,147595,75 min
