name,rating,genre,score,director,writer,star,budget,Run,released
"Paris, Texas",R,Drama,8.1,Wim Wenders,L.M. Kit Carson,Harry Dean Stanton,0.0,145.0,1984-08-23
This Is Spinal Tap,R,Comedy,7.9,Rob Reiner,Christopher Guest,Rob Reiner,2500000.0,82.0,1984-03-02
1984,R,Drama,7.1,Michael Radford,Michael Radford,John Hurt,0.0,113.0,1985-03-22
Top Secret!,PG,Comedy,7.2,Jim Abrahams,Jim Abrahams,Val Kilmer,9000000.0,90.0,1984-06-08
Conan the Destroyer,PG,Action,5.9,Richard Fleischer,Robert E. Howard,Arnold Schwarzenegger,18000000.0,103.0,1984-06-29
Children of the Corn,R,Horror,5.6,Fritz Kiersch,Stephen King,Peter Horton,800000.0,92.0,1984-03-09
The Last Starfighter,PG,Action,6.8,Nick Castle,Jonathan R. Betuel,Lance Guest,15000000.0,101.0,1984-07-13
Splash,PG,Comedy,6.3,Ron Howard,Brian Grazer,Tom Hanks,8000000.0,111.0,1984-03-09
Blood Simple,R,Crime,7.6,Joel Coen,Joel Coen,John Getz,1500000.0,99.0,1985-01-18
The Natural,PG,Drama,7.5,Barry Levinson,Bernard Malamud,Robert Redford,28000000.0,138.0,1984-05-11
Bachelor Party,R,Comedy,6.3,Neal Israel,Bob Israel,Tom Hanks,5000000.0,105.0,1984-06-29
Nausicaä of the Valley of the Wind,0,Animation,8.1,Hayao Miyazaki,Hayao Miyazaki,Sumi Shimamoto,1000000.0,117.0,1987-11-25
Friday the 13th: the Final Chapter,R,Horror,6.0,Joseph Zito,Victor Miller,Erich Anderson,2600000.0,91.0,1984-04-13
Hardbodies,R,Comedy,4.9,Mark Griffiths,Steve Greene,Grant Cramer,0.0,88.0,1984-05-04
Against All Odds,R,Action,5.9,Taylor Hackford,Eric Hughes,Rachel Ward,13000000.0,128.0,1984-03-02
Supergirl,PG,Action,4.4,Jeannot Szwarc,David Odell,Helen Slater,35000000.0,124.0,1984-11-21
The Bounty,PG,Adventure,7.0,Roger Donaldson,Robert Bolt,Mel Gibson,25000000.0,132.0,1984-05-04
Firestarter,R,Action,6.1,Mark L. Lester,Stephen King,Drew Barrymore,15000000.0,114.0,1984-05-11
C.H.U.D.,R,Horror,5.6,Douglas Cheek,Parnell Hall,John Heard,1250000.0,88.0,1984-08-31
The Woman in Red,PG-13,Comedy,6.0,Gene Wilder,Jean-Loup Dabadie,Gene Wilder,9000000.0,87.0,1984-08-15
Runaway,PG-13,Action,5.9,Michael Crichton,Michael Crichton,Tom Selleck,0.0,99.0,1984-12-14
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG,Adventure,6.4,W.D. Richter,Earl Mac Rauch,Peter Weller,0.0,103.0,1984-10-05
Star Trek III: The Search for Spock,PG,Action,6.7,Leonard Nimoy,Gene Roddenberry,William Shatner,17000000.0,105.0,1984-06-01
Repo Man,R,Action,6.9,Alex Cox,Alex Cox,Harry Dean Stanton,1500000.0,92.0,1984-03-02
2010: the Year We Make Contact,PG,Adventure,6.8,Peter Hyams,Arthur C. Clarke,Roy Scheider,28000000.0,116.0,1984-12-07
The Killing Fields,R,Biography,7.8,Roland Joffé,Bruce Robinson,Sam Waterston,14400000.0,141.0,1985-02-01
The Cotton Club,R,Crime,6.5,Francis Ford Coppola,William Kennedy,Richard Gere,58000000.0,127.0,1984-12-14
Starman,PG,Romance,7.0,John Carpenter,Bruce A. Evans,Jeff Bridges,22000000.0,115.0,1984-12-14
Night of the Comet,PG-13,Comedy,6.4,Thom Eberhardt,Thom Eberhardt,Catherine Mary Stewart,700000.0,95.0,1984-11-16
Blame It on Rio,R,Comedy,5.8,Stanley Donen,Charlie Peters,Michael Caine,0.0,100.0,1984-02-17
Dreamscape,PG-13,Action,6.3,Joseph Ruben,David Loughery,Dennis Quaid,0.0,99.0,1984-08-17
Crimes of Passion,R,Drama,6.4,Ken Russell,Barry Sandler,Kathleen Turner,0.0,107.0,1984-10-19
The Philadelphia Experiment,PG,Adventure,6.1,Stewart Raffill,Michael Janover,Michael Paré,21000000.0,102.0,1984-08-03
Places in the Heart,PG,Drama,7.4,Robert Benton,Robert Benton,Sally Field,0.0,111.0,1984-10-05
Bolero,R,Comedy,3.0,John Derek,John Derek,Bo Derek,7000000.0,105.0,1984-08-31
Cannonball Run II,PG,Action,5.1,Hal Needham,Brock Yates,Burt Reynolds,20000000.0,108.0,1984-06-29
Stranger Than Paradise,R,Comedy,7.5,Jim Jarmusch,Jim Jarmusch,John Lurie,90000.0,89.0,1984-10-04
The Ice Pirates,PG,Action,5.7,Stewart Raffill,Stewart Raffill,Robert Urich,9000000.0,91.0,1984-03-16
A Passage to India,PG,Adventure,7.3,David Lean,E.M. Forster,Judy Davis,16000000.0,164.0,1985-02-01
Purple Rain,R,Drama,6.5,Albert Magnoli,Albert Magnoli,Prince,7200000.0,111.0,1984-07-27
The Hotel New Hampshire,R,Comedy,6.0,Tony Richardson,John Irving,Rob Lowe,7500000.0,109.0,1984-03-09
The Hit,R,Crime,7.1,Stephen Frears,Peter Prince,Freddie Stuart,0.0,98.0,1985-03-08
Sheena,PG,Adventure,4.9,John Guillermin,David Newman,Tanya Roberts,25000000.0,117.0,1984-08-17
Missing in Action,R,Action,5.5,Joseph Zito,Arthur Silver,Chuck Norris,2550000.0,101.0,1984-11-16
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,6.4,Hugh Hudson,Edgar Rice Burroughs,Christopher Lambert,30000000.0,143.0,1984-03-30
The Muppets Take Manhattan,G,Adventure,6.9,Frank Oz,Tom Patchett,Jim Henson,0.0,94.0,1984-07-13
The Wild Life,R,Comedy,6.1,Art Linson,Cameron Crowe,Chris Penn,0.0,96.0,1984-09-28
Falling in Love,PG-13,Drama,6.5,Ulu Grosbard,Michael Cristofer,Robert De Niro,12000000.0,106.0,1984-11-21
Gwendoline,R,Action,5.3,Just Jaeckin,Just Jaeckin,Tawny Kitaen,0.0,87.0,1985-01-25
Breakin',PG,Comedy,5.8,Joel Silberg,Charles Parker,Lucinda Dickey,0.0,90.0,1984-05-04
Birdy,R,Drama,7.3,Alan Parker,William Wharton,Matthew Modine,12000000.0,120.0,1984-12-21
The Company of Wolves,R,Drama,6.7,Neil Jordan,Angela Carter,Sarah Patterson,2000000.0,95.0,1985-04-19
Ghoulies,PG-13,Comedy,4.2,Luca Bercovici,Luca Bercovici,Peter Liapis,5500000.0,81.0,1985-01-18
Electric Dreams,PG,Comedy,6.5,Steve Barron,Rusty Lemorande,Lenny von Dohlen,0.0,95.0,1984-07-20
Cloak & Dagger,PG,Action,6.6,Richard Franklin,Tom Holland,Henry Thomas,0.0,101.0,1984-08-10
Racing with the Moon,PG,Comedy,6.7,Richard Benjamin,Steve Kloves,Sean Penn,6500000.0,108.0,1984-03-23
"Silent Night, Deadly Night",R,Horror,5.9,Charles E. Sellier Jr.,Paul Caimi,Lilyan Chauvin,1065000.0,79.0,1984-11-09
The Pope of Greenwich Village,R,Action,6.7,Stuart Rosenberg,Vincent Patrick,Eric Roberts,8000000.0,121.0,1984-06-22
All of Me,PG,Comedy,6.7,Carl Reiner,Edwin Davis,Steve Martin,0.0,93.0,1984-09-21
"Grandview, U.S.A.",R,Drama,5.4,Randal Kleiser,Ken Hixon,Jamie Lee Curtis,0.0,97.0,1984-08-03
Where the Boys Are,R,Comedy,4.1,Hy Averback,Stu Krieger,Lisa Hartman,0.0,94.0,1984-04-06
Reckless,R,Comedy,6.3,James Foley,Chris Columbus,Aidan Quinn,0.0,90.0,1984-02-03
Tightrope,R,Crime,6.3,Richard Tuggle,Richard Tuggle,Clint Eastwood,0.0,114.0,1984-08-17
Rhinestone,PG,Comedy,3.9,Bob Clark,Phil Alden Robinson,Sylvester Stallone,28000000.0,111.0,1984-06-22
The Flamingo Kid,PG-13,Comedy,6.2,Garry Marshall,Neal Marshall,Matt Dillon,0.0,100.0,1984-12-21
Up the Creek,R,Comedy,5.6,Robert Butler,Jim Kouf,Tim Matheson,0.0,96.0,1984-04-06
Swing Shift,PG,Drama,5.9,Jonathan Demme,Nancy Dowd,Goldie Hawn,15000000.0,100.0,1984-04-13
Beat Street,PG,Drama,6.5,Stan Lathan,Steven Hager,Rae Dawn Chong,9500000.0,105.0,1984-06-08
Joy of Sex,R,Comedy,3.7,Martha Coolidge,Kathleen Rowell,Cameron Dye,0.0,93.0,1984-08-03
Breakin' 2: Electric Boogaloo,PG,Comedy,5.1,Sam Firstenberg,Charles Parker,Lucinda Dickey,0.0,94.0,1984-12-21
The Razor's Edge,PG-13,Drama,6.6,John Byrum,W. Somerset Maugham,Bill Murray,13000000.0,128.0,1984-10-19
Tank,PG,Action,5.8,Marvin J. Chomsky,Dan Gordon,James Garner,0.0,113.0,1984-03-16
Moscow on the Hudson,R,Comedy,6.5,Paul Mazursky,Paul Mazursky,Robin Williams,13000000.0,115.0,1984-04-06
Ninja III: The Domination,R,Action,5.4,Sam Firstenberg,James R. Silke,Shô Kosugi,0.0,92.0,1984-09-14
The Warrior and the Sorceress,R,Adventure,4.3,John C. Broderick,John C. Broderick,David Carradine,0.0,81.0,1984-09-07
The Evil That Men Do,R,Action,6.0,J. Lee Thompson,R. Lance Hill,Charles Bronson,4600000.0,90.0,1984-09-21
Firstborn,R,Drama,6.2,Michael Apted,Ron Koslow,Teri Garr,8000000.0,103.0,1984-10-26
Cut and Run,R,Adventure,5.7,Ruggero Deodato,Cesare Frugoni,Lisa Blount,0.0,90.0,1986-05-02
Teachers,R,Comedy,6.1,Arthur Hiller,W.R. McKinney,Nick Nolte,9000000.0,107.0,1984-10-05
Repentance,PG,Drama,8.3,Tengiz Abuladze,Tengiz Abuladze,Avtandil Makharadze,0.0,153.0,1987-05-18
The River,PG-13,Drama,6.3,Mark Rydell,Robert Dillon,Mel Gibson,18000000.0,124.0,1985-01-11
Razorback,R,Horror,6.0,Russell Mulcahy,Everett De Roche,Gregory Harrison,0.0,95.0,1984-11-16
A Soldier's Story,PG,Crime,7.2,Norman Jewison,Charles Fuller,Howard E. Rollins Jr.,6000000.0,101.0,1984-11-02
Comfort and Joy,PG,Comedy,6.7,Bill Forsyth,Bill Forsyth,Bill Paterson,0.0,106.0,1984-10-10
Meatballs Part II,PG,Comedy,3.7,Ken Wiederhorn,Martin Kitrosser,Richard Mulligan,0.0,87.0,1984-07-27
Lassiter,R,Action,5.9,Roger Young,David Taylor,Tom Selleck,0.0,100.0,1984-02-17
Irreconcilable Differences,PG,Comedy,5.8,Charles Shyer,Nancy Meyers,Ryan O'Neal,6000000.0,113.0,1984-09-28
City Heat,PG,Action,5.5,Richard Benjamin,Blake Edwards,Clint Eastwood,25000000.0,93.0,1984-12-07
Under the Volcano,R,Drama,7.0,John Huston,Malcolm Lowry,Albert Finney,0.0,112.0,1984-06-13
Iceman,PG,Drama,6.1,Fred Schepisi,Chip Proser,Timothy Hutton,0.0,100.0,1984-04-13
Flashpoint,R,Action,6.4,William Tannen,George LaFountaine,Kris Kristofferson,10000000.0,93.0,1984-08-31
The Little Drummer Girl,R,Drama,6.1,George Roy Hill,Loring Mandel,Diane Keaton,0.0,130.0,1984-10-19
Lust in the Dust,R,Comedy,6.4,Paul Bartel,Philip John Taylor,Tab Hunter,3000000.0,84.0,1985-03-01
Hot Moves,R,Comedy,4.8,Jim Sotos,Larry Anderson,Michael Zorek,0.0,85.0,1984-10-04
Oxford Blues,PG-13,Comedy,5.3,Robert Boris,Robert Boris,Rob Lowe,0.0,97.0,1984-08-24
Thief of Hearts,Not Rated,Crime,5.8,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,9000000.0,100.0,1984-10-19
The Brother from Another Planet,R,Comedy,6.8,John Sayles,John Sayles,Joe Morton,350000.0,108.0,1984-09-14
No Small Affair,R,Comedy,5.5,Jerry Schatzberg,Craig Bolotin,Jon Cryer,0.0,102.0,1984-11-09
Broadway Danny Rose,PG,Comedy,7.4,Woody Allen,Woody Allen,Woody Allen,8000000.0,84.0,1984-01-27
Best Defense,R,Comedy,3.8,Willard Huyck,Robert Grossbach,Dudley Moore,18000000.0,94.0,1984-07-20
Micki + Maude,PG-13,Comedy,6.0,Blake Edwards,Jonathan Reynolds,Dudley Moore,15100000.0,118.0,1984-12-21
Protocol,PG,Comedy,5.5,Herbert Ross,Buck Henry,Goldie Hawn,12000000.0,96.0,1984-12-21
Exterminator 2,R,Action,4.5,Mark Buntzman,Mark Buntzman,Robert Ginty,0.0,89.0,1984-09-14
American Dreamer,PG,Comedy,6.6,Rick Rosenthal,Ann Biderman,JoBeth Williams,0.0,105.0,1984-10-26
The Lonely Guy,R,Comedy,6.3,Arthur Hiller,Ed. Weinberger,Steve Martin,0.0,90.0,1984-01-27
Choose Me,R,Comedy,6.8,Alan Rudolph,Alan Rudolph,Geneviève Bujold,700000.0,106.0,1984-08-29
Making the Grade,R,Comedy,5.7,Dorian Walker,Gene Quintano,Judd Nelson,0.0,105.0,1984-05-18
Full Moon in Paris,R,Comedy,7.4,Éric Rohmer,Éric Rohmer,Pascale Ogier,0.0,101.0,1984-08-29
Unfaithfully Yours,PG,Comedy,6.0,Howard Zieff,Preston Sturges,Dudley Moore,12000000.0,96.0,1984-02-10
Impulse,R,Horror,5.9,Graham Baker,Nicholas Kazan,Tim Matheson,10000000.0,91.0,1984-09-28
Mrs. Soffel,PG-13,Drama,6.1,Gillian Armstrong,Ron Nyswaner,Diane Keaton,11000000.0,110.0,1985-02-08
Garbo Talks,PG-13,Comedy,6.4,Sidney Lumet,Larry Grusin,Anne Bancroft,0.0,103.0,1984-10-12
Country,PG,Drama,6.7,Richard Pearce,William D. Wittliff,Jessica Lange,0.0,105.0,1984-09-29
Cheech & Chong's the Corsican Brothers,PG,Comedy,4.7,Tommy Chong,Tommy Chong,Cheech Marin,0.0,82.0,1984-07-27
Purple Hearts,R,Drama,5.8,Sidney J. Furie,Rick Natkin,Ken Wahl,0.0,116.0,1984-08-31
Give My Regards to Broad Street,PG,Drama,5.2,Peter Webb,Paul McCartney,Paul McCartney,9000000.0,108.0,1984-10-23
Songwriter,R,Drama,6.3,Alan Rudolph,Bud Shrake,Willie Nelson,0.0,94.0,1984-10-14
Finders Keepers,R,Comedy,5.4,Richard Lester,Charles Dennis,Michael O'Keefe,7000000.0,96.0,1984-05-18
The Bostonians,Not Rated,Drama,6.3,James Ivory,Henry James,Christopher Reeve,0.0,122.0,1984-10-05
Body Rock,PG-13,Drama,3.7,Marcelo Epstein,Desmond Nakano,Lorenzo Lamas,0.0,93.0,1984-09-28
The River Rat,PG,Adventure,6.3,Thomas Rickman,Thomas Rickman,Tommy Lee Jones,0.0,93.0,1984-09-28
Just the Way You Are,PG,Comedy,5.9,Édouard Molinaro,Allan Burns,Kristy McNichol,0.0,94.0,1984-11-16
Until September,R,Drama,5.7,Richard Marquand,Janice Lee Graham,Karen Allen,0.0,95.0,1984-09-21
Crackers,PG,Adventure,5.2,Louis Malle,Jeffrey Alan Fiskin,Donald Sutherland,12000000.0,91.0,1984-02-17
Kaos,R,Comedy,7.9,Paolo Taviani,Luigi Pirandello,Margarita Lozano,0.0,187.0,1986-02-14
Misunderstood,PG,Drama,6.0,Jerry Schatzberg,Florence Montgomery,Gene Hackman,0.0,91.0,1984-03-30
Mike's Murder,R,Drama,5.8,James Bridges,James Bridges,Debra Winger,6300000.0,109.0,1984-03-09
The Buddy System,PG,Drama,5.7,Glenn Jordan,Mary Agnes Donoghue,Richard Dreyfuss,0.0,110.0,1984-01-20
A Private Function,R,Comedy,6.5,Malcolm Mowbray,Alan Bennett,Michael Palin,0.0,92.0,1985-03-01
Scandalous,PG,Comedy,4.5,Rob Cohen,Larry Cohen,Robert Hays,0.0,92.0,1984-01-20
"Oh, God! You Devil",PG,Comedy,5.4,Paul Bogart,Andrew Bergman,George Burns,0.0,97.0,1984-11-09
The Bay Boy,R,Drama,6.3,Daniel Petrie,Daniel Petrie,Liv Ullmann,0.0,107.0,1985-02-15
Heavenly Bodies,R,Drama,5.2,Lawrence Dane,Lawrence Dane,Cynthia Dale,0.0,90.0,1985-02-01
Heartbreakers,R,Drama,5.9,Bobby Roth,Bobby Roth,Peter Coyote,0.0,98.0,1984-09-28
Champions,PG,Biography,6.5,John Irvin,Bob Champion,John Hurt,0.0,106.0,1984-04-20
A Sunday in the Country,G,Drama,7.6,Bertrand Tavernier,Pierre Bost,Louis Ducreux,0.0,90.0,1984-04-11
Mass Appeal,PG,Drama,6.6,Glenn Jordan,Bill C. Davis,Jack Lemmon,0.0,99.0,1984-12-14
Windy City,R,Drama,5.8,Armyan Bernstein,Armyan Bernstein,John Shea,0.0,103.0,1986-01-01
Lovelines,R,Comedy,5.3,Rod Amateau,Chip Hand,Greg Bradford,0.0,93.0,1984-11-02
The Bear,PG,Biography,6.1,Richard C. Sarafian,Michael Kane,Gary Busey,221000.0,110.0,1984-09-28
Weekend Pass,R,Comedy,3.8,Lawrence Bassoff,Lawrence Bassoff,Patrick Houser,0.0,88.0,1984-02-03
Over the Brooklyn Bridge,R,Comedy,5.7,Menahem Golan,Arnold Somkin,Elliott Gould,0.0,108.0,1984-03-02
Fast Talking,Not Rated,Drama,6.9,Ken Cameron,Ken Cameron,Steve Bisley,0.0,95.0,1986-04-23
Lily in Love,PG-13,Comedy,5.7,Károly Makk,Frank Cucci,Christopher Plummer,0.0,90.0,1985-04-19
Winter Flight,0,Drama,7.3,Roy Battersby,Alan Janes,Reece Dinsdale,0.0,89.0,1986-02-14
Almost You,R,Comedy,5.1,Adam Brooks,Adam Brooks,Brooke Adams,1000000.0,96.0,1985-03-29
The Adventures of Pinocchio,Not Rated,Animation,5.1,Ippei Kuri,Donald Paonessa,Danielle Romeo,0.0,98.0,1984-06-08
Blame It on the Night,PG-13,Comedy,5.1,Gene Taft,Gene Taft,Nick Mancuso,0.0,85.0,1984-11-02
Petit Con,R,Comedy,6.2,Gérard Lauzier,Gérard Lauzier,Guy Marchand,0.0,90.0,1985-04-19
Weird Science,PG-13,Comedy,6.6,John Hughes,John Hughes,Anthony Michael Hall,7500000.0,94.0,1985-08-02
The Goonies,PG,Adventure,7.8,Richard Donner,Chris Columbus,Sean Astin,19000000.0,114.0,1985-06-07
Back to the Future,PG,Adventure,8.5,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,19000000.0,116.0,1985-07-03
To Live and Die in L.A.,R,Action,7.3,William Friedkin,Gerald Petievich,William Petersen,6000000.0,116.0,1985-11-01
Clue,PG,Comedy,7.3,Jonathan Lynn,John Landis,Eileen Brennan,15000000.0,94.0,1985-12-13
The Breakfast Club,R,Comedy,7.8,John Hughes,John Hughes,Emilio Estevez,1000000.0,97.0,1985-02-15
Cocoon,PG-13,Comedy,6.7,Ron Howard,Tom Benedek,Don Ameche,17500000.0,117.0,1985-06-21
Rambo: First Blood Part II,R,Action,6.5,George P. Cosmatos,David Morrell,Sylvester Stallone,44000000.0,96.0,1985-05-22
Mask,PG-13,Biography,7.2,Peter Bogdanovich,Anna Hamilton Phelan,Cher,8000000.0,120.0,1985-03-22
Legend,PG,Adventure,6.4,Ridley Scott,William Hjortsberg,Tom Cruise,24500000.0,94.0,1986-04-18
The Return of the Living Dead,R,Comedy,7.3,Dan O'Bannon,Rudy Ricci,Clu Gulager,4000000.0,91.0,1985-08-16
St. Elmo's Fire,R,Drama,6.4,Joel Schumacher,Joel Schumacher,Demi Moore,10000000.0,110.0,1985-06-28
Brazil,R,Drama,7.9,Terry Gilliam,Terry Gilliam,Jonathan Pryce,15000000.0,132.0,1985-12-18
