movie_id,title,movie_rating,release_date,genre_name,Director,Writer,Actors,Language,metascore,imdb_rating,BoxOffice,runtime
71,Reminiscence,PG-13,2021-08-20,"Mystery, Romance, Sci-Fi",Lisa Joy,Lisa Joy,"Hugh Jackman, Rebecca Ferguson, Thandiwe Newton","English, Mandarin, Spanish",46.0,5.9,3900193,116
72,12 Mighty Orphans,PG-13,2021-06-18,"History, Sport",Ty Roberts,"Jim Dent, Ty Roberts, Lane Garrison","Luke Wilson, Vinessa Shaw, Wayne Knight",English,44.0,6.9,3689637,118
73,Pig,R,2021-07-16,"Drama, Mystery, Thriller",Michael Sarnoski,"Vanessa Block, Michael Sarnoski","Nicolas Cage, Alex Wolff, Adam Arkin",English,82.0,7.0,3186668,92
74,The Girl Who Believes in Miracles,PG,2021-04-02,"Drama, Family",Richard Correll,"Richard Correll, G.M. Mercier","Mira Sorvino, Austyn Johnson, Kevin Sorbo",English,0.0,5.4,3163362,100
75,Voyagers,PG-13,2021-04-09,"Adventure, Sci-Fi, Thriller",Neil Burger,Neil Burger,"Colin Farrell, Tye Sheridan, Lily-Rose Depp",English,44.0,5.4,3149935,108
76,The House Next Door: Meet the Blacks 2,R,2021-06-11,"Action, Comedy, Horror",Deon Taylor,"Corey Harrell, Deon Taylor","Mike Epps, Katt Williams, Lil Duval",English,0.0,3.8,2893660,97
77,Here Today,PG-13,2021-05-07,"Comedy, Drama",Billy Crystal,"Alan Zweibel, Billy Crystal","Billy Crystal, Chad Jennings, Dierdre Friel",English,40.0,6.7,2807494,117
78,Finding You,Not Rated,2021-05-14,"Drama, Romance",0,0,"Chris Murphy Smith, Christopher Brian, Phil Kramer",English,0.0,0.0,2676410,0
79,Lamb,R,2021-09-24,"Drama, Fantasy, Horror",Valdimar Jóhannsson,"Sjón, Valdimar Jóhannsson","Noomi Rapace, Hilmir Snær Guðnason, Björn Hlynur Haraldsson",Icelandic,68.0,6.3,2657850,106
80,The Card Counter,R,2021-09-10,"Crime, Drama, Thriller",Paul Schrader,Paul Schrader,"Oscar Isaac, Tiffany Haddish, Tye Sheridan",English,77.0,6.3,2577830,111
81,Land,PG-13,2021-02-12,"Adventure, Drama",Robin Wright,"Jesse Chatham, Erin Dignam","Robin Wright, Demián Bichir, Sarah Dawn Pledge",English,61.0,6.7,2404127,89
82,The Eyes of Tammy Faye,PG-13,2021-09-17,"Biography, Drama, Romance",Michael Showalter,"Fenton Bailey, Randy Barbato, Abe Sylvia","Jessica Chastain, Andrew Garfield, Cherry Jones",English,55.0,6.7,2320649,126
83,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",PG-13,2021-07-02,"Documentary, Music",Questlove,0,"Dorinda Drake, Barbara Bland-Acosta, Darryl Lewis",English,96.0,8.1,2170750,118
84,After We Fell,R,2021-10-22,"Drama, Romance",Castille Landon,"Anna Todd, Sharon Soboil","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard",English,0.0,4.7,0,98
85,The Father,0,2021-03-21,"Short, Drama",Blake Ridder,Blake Ridder,"Louis James, Stewart Permutt, Blake Ridder",English,0.0,0.0,1926706,0
86,Queen Bees,PG-13,2021-06-11,"Comedy, Drama, Romance",Michael Lembeck,"Donald Martin, Harrison Powell","Ellen Burstyn, Jane Curtin, Loretta Devine",English,52.0,6.2,1782909,100
87,Show Me the Father,PG,2021-09-10,"Documentary, Drama",Rick Altizer,0,"Jim Daly, Jonathan Evans, Tony Evans",English,0.0,6.4,1442988,91
88,Point of View: A Designer Profile,0,2021-03-14,0,0,0,"Brian Patrick Flynn, Jean Stoffer, Lauren Bradshaw",English,0.0,0.0,1437938,0
89,Titane,R,2021-10-01,"Drama, Horror, Sci-Fi",Julia Ducournau,"Julia Ducournau, Jacques Akchoti, Simonetta Greggio","Vincent Lindon, Agathe Rousselle, Garance Marillier",French,75.0,6.7,1800000,108
90,Together Together,R,2021-04-23,Comedy,Nikole Beckwith,Nikole Beckwith,"Patti Harrison, Ed Helms, Rosalind Chao",English,70.0,6.5,1251184,90
91,Honsla Rakh,0,2021-11-24,"Comedy, Drama, Romance",Amarjit Singh Saron,Rakesh Dhawan,"Diljit Dosanjh, Shehnaaz Gill, Sonam Bajwa",Punjabi,0.0,8.0,1113723,145
92,Wrong Turn,R,2021-02-26,"Horror, Thriller",Mike P. Nelson,Alan B. McElroy,"Charlotte Vega, Adain Bradley, Bill Sage",English,46.0,5.5,1023086,109
93,In the Earth,R,2021-04-16,"Horror, Sci-Fi, Thriller",Ben Wheatley,Ben Wheatley,"Joel Fry, Reece Shearsmith, Hayley Squires",English,63.0,5.2,1038255,107
94,Red Rocket,R,2021-12-17,"Comedy, Drama",Sean Baker,"Sean Baker, Chris Bergoch","Simon Rex, Bree Elrod, Suzanna Son",English,75.0,7.4,1018532,130
95,True to the Game 3,R,2021-12-03,"Romance, Thriller",David Wolfgang,Jeff Robertson,"Malik Barnhardt, Starletta DuPois, Omar Gooding",English,0.0,4.8,1016725,98
96,Long Weekend,R,2021-03-12,"Comedy, Romance",Steve Basilone,Steve Basilone,"Steve Basilone, Jennifer Irwin, Jess Jacobs",English,53.0,6.1,855765,91
97,The Jesus Music,PG-13,2021-10-01,Documentary,"Andrew Erwin, Jon Erwin","Jon Erwin, Bekah Hubbell","Kirk Franklin, Amy Grant, Kevin Max",English,42.0,7.0,844743,109
98,Witnesses,PG,2021-06-04,"Action, Adventure, Drama",Mark Goodman,Mitch Davis,"Michael Zuccola, Caleb J. Spivak, Lincoln Hoppe",English,0.0,4.2,836536,110
99,The Alpinist,PG-13,2021-09-10,Documentary,"Peter Mortimer, Nick Rosen",0,"Marc-André Leclerc, Peter Mortimer, Alex Honnold",English,67.0,8.0,738175,92
100,The Mauritanian,R,2021-03-02,"Biography, Drama, Thriller",Kevin Macdonald,"Michael Bronner, Rory Haines, Sohrab Noshirvani","Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud","English, French, Arabic, German",53.0,7.5,1060556,129
101,Blue Bayou,R,2021-09-17,Drama,Justin Chon,Justin Chon,"Justin Chon, Alicia Vikander, Mark O'Brien",English,58.0,7.1,744813,117
102,The Rescue,PG,2021-10-08,"Documentary, Action, Mystery","Jimmy Chin, Elizabeth Chai Vasarhelyi",0,"Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan",English,0.0,8.4,637665,107
103,Lamb of God: The Concert Film,0,2021-03-12,Musical,Rob Gardner,Rob Gardner,"Casey Elliott, Katherine Thomas, Tyler Hardwick",English,0.0,8.5,575783,90
104,The Sparks Brothers,R,2021-06-18,"Documentary, Biography, Comedy",Edgar Wright,0,"Ron Mael, Russell Mael, Beck",English,80.0,7.9,480774,140
105,Werewolves Within,R,2021-07-02,"Comedy, Horror, Mystery",Josh Ruben,Mishna Wolff,"Sam Richardson, Milana Vayntrub, George Basil",English,66.0,6.0,475488,97
106,For the Love of Money,R,2021-10-20,"Drama, Thriller",Leslie Small,"Timothy Allen Smith, Zadia Ife, Leslie Small","Katt Williams, Keri Hilson, Rotimi",English,0.0,6.0,470000,99
107,National Champions,R,2021-12-10,"Drama, Sport",Ric Roman Waugh,Adam Mervis,"Stephan James, J.K. Simmons, Alexander Ludwig",English,52.0,5.6,445740,116
108,Jathi Ratnalu,0,2021-03-11,Comedy,Anudeep K.V.,Anudeep K.V.,"Naveen Polishetty, Rahul Ramakrishna, Priyadarshi",Telugu,0.0,7.6,424667,145
109,The Lost Leonardo,PG-13,2021-08-13,Documentary,Andreas Koefoed,"Andreas Dalsgaard, Christian Kirk Muff, Andreas Koefoed","Jerry Saltz, Robert K. Wittman, Doug Patteson","English, French",79.0,7.6,418286,96
110,Flag Day,R,2021-08-20,"Crime, Drama",Sean Penn,"Jez Butterworth, Jennifer Vogel, John-Henry Butterworth","Mitchell McCormick, Tom Anniko, Dylan Penn",English,53.0,4.9,0,109
111,Willy's Wonderland,TV-MA,2021-02-12,"Action, Comedy, Horror",Kevin Lewis,G.O. Parsons,"Nicolas Cage, Emily Tosta, Beth Grant",English,44.0,5.5,395743,88
112,Dreamland: The Burning of Black Wall Street,0,2021-05-31,Documentary,Salima Koroma,0,"Alicia Odewale, Hannibal Johnson, Kary Stacklebeck",English,0.0,6.7,353224,98
113,Julia,PG-13,2022-03-18,Documentary,"Julie Cohen, Betsy West",0,"José Andrés, Antonietta Brownell, Julia Child",English,71.0,7.6,350000,95
114,Benedetta,Unrated,2021-12-03,"Biography, Drama, History",Paul Verhoeven,"David Birke, Paul Verhoeven, Judith C. Brown","Virginie Efira, Charlotte Rampling, Daphne Patakia","French, Latin",73.0,6.7,100094,131
115,Bo Gia,0,2021-03-12,"Comedy, Drama, Family","Tran Thanh, Ngoc Dang Vu","Ho Thuc An, Nhi Bui","Tran Thanh, Tuan Tran, Ngan Chi",Vietnamese,0.0,6.7,404371,128
116,Flee,PG-13,2021-06-17,"Documentary, Animation",Jonas Poher Rasmussen,"Amin Nawabi, Jonas Poher Rasmussen","Daniel Karimyar, Fardin Mijdzadeh, Milad Eskandari","Danish, English, Dari, Russian, Swedish",90.0,8.1,288714,89
117,Dutch,R,2021-03-12,Action,Preston A. Whitmore II,"Preston A. Whitmore II, Teri Woods","Natasha Marc, Iyana Halley, Malcolm David Kelley",English,0.0,3.7,269435,109
118,India Sweets and Spices,PG-13,2021-06-12,Comedy,Geeta Malik,Geeta Malik,"Sophia Ali, Manisha Koirala, Rish Shah",English,57.0,6.0,264626,101
119,A Mouthful of Air,R,2021-10-29,Drama,Amy Koppelman,Amy Koppelman,"Amanda Seyfried, Olivia Katz, Christian Kutz",English,52.0,6.0,254775,105
120,Rita Moreno: Just a Girl Who Decided to Go for It,PG-13,2021-06-18,"Documentary, Biography",Mariem Pérez Riera,0,"Lin-Manuel Miranda, Morgan Freeman, Marlon Brando",English,77.0,7.7,0,90
121,Once I Was Engaged,0,2021-07-21,Comedy,"Maclain Nelson, Stephen Shimek",Maclain Nelson,"Bart Johnson, Paris Warner, Clare Niederpruem",0,0.0,7.0,231687,107
122,Supernova,0,2021-07-23,"Short, Drama",Lorenzo Baldi,Lorenzo Baldi,"Jules Baron, Paul Samrani",French,0.0,0.0,0,0
123,Becoming Cousteau,PG-13,2021-11-24,"Documentary, Adventure, Biography",Liz Garbus,"Mark Monroe, Pax Wassermann","Vincent Cassel, Carol Burnett, Louis Malle","English, French",74.0,7.1,0,94
124,Limbo,0,2021-11-18,Drama,Soi Cheang,Kin-Yee Au,"Ka-Tung Lam, Yase Liu, Mason Lee","Chinese, Cantonese",0.0,7.2,214390,118
125,Doctor,0,2021-10-09,"Action, Comedy, Crime",Nelson Dilipkumar,Nelson Dilipkumar,"Sivakarthikeyan, Vinay Rai, Priyanka Arulmohan",Tamil,0.0,7.6,0,148
126,Together,R,2021-08-27,"Comedy, Drama","Stephen Daldry, Justin Martin",Dennis Kelly,"James McAvoy, Sharon Horgan, Samuel Logan",English,59.0,6.4,204513,92
127,La Piscine,0,2021-05-14,0,0,0,0,0,0.0,0.0,191996,0
128,Ailey,PG-13,2021-07-23,"Documentary, Biography",Jamila Wignot,0,"Alvin Ailey, Judith Jamison, Samuel Lee Roberts",English,77.0,6.9,0,95
129,The Resort,0,2021-07-12,Horror,Taylor Chien,Taylor Chien,"Bianca Haase, Brock O'Hurn, Michael Vlamis",English,0.0,3.0,147595,75
130,"O, What Rice! O, What Beans!",0,2021-06-01,"Animation, Short",Jer Moran,Jer Moran,"Alec Bersoux, Timothy Bethel Brewer, Vincent Gagnepain",English,0.0,0.0,146329,6
