title,movie_rating,run_time,meta_score,imdb_rating,director,writer,actor,genre_name,Year,Predictions_BoxOffice,Predictions_Upcoming,label_boxoffice,box_office,Predictions_imbdRating,Predictions_imbd_Upcoming,label_imbd_score
F/X2,PG-13,108.0,0.0,5.9,Richard Franklin,Robert T. Megginson,Bryan Brown,Action,1991,1.0,0.0,0.0,21082165.0,1.0,0.0,0.0
Mortal Thoughts,R,103.0,0.0,5.7,Alan Rudolph,William Reilly,Demi Moore,Mystery,1991,1.0,0.0,0.0,18784957.0,1.0,0.0,0.0
Eve of Destruction,R,99.0,0.0,4.9,Duncan Gibbins,Duncan Gibbins,Gregory Hines,Action,1991,1.0,0.0,0.0,5451119.0,1.0,0.0,0.0
A Rage in Harlem,R,115.0,0.0,5.9,Bill Duke,Chester Himes,Forest Whitaker,Comedy,1991,1.0,0.0,0.0,10438504.0,1.0,0.0,0.0
At Play in the Fields of the Lord,R,189.0,0.0,6.8,Hector Babenco,Peter Matthiessen,Tom Berenger,Drama,1991,1.0,0.0,0.0,1345903.0,1.0,0.0,0.0
True Colors,R,111.0,0.0,6.3,Herbert Ross,Kevin Wade,John Cusack,Drama,1991,1.0,0.0,0.0,418807.0,1.0,0.0,0.0
Strictly Business,PG-13,83.0,0.0,5.5,Kevin Hooks,Pam Gibson,Tommy Davidson,Comedy,1991,1.0,0.0,0.0,7683267.0,1.0,0.0,0.0
Madame Bovary,PG-13,143.0,0.0,6.6,Claude Chabrol,Gustave Flaubert,Isabelle Huppert,Drama,1991,1.0,0.0,0.0,1942423.0,1.0,0.0,0.0
Stepping Out,PG,106.0,0.0,6.4,Lewis Gilbert,Richard Harris,Liza Minnelli,Comedy,1991,1.0,0.0,0.0,246000.0,1.0,0.0,0.0
Defenseless,R,104.0,0.0,5.6,Martin Campbell,James Cresson,Barbara Hershey,Mystery,1991,1.0,0.0,0.0,6413375.0,1.0,0.0,0.0
Basic Instinct,R,127.0,0.0,7.0,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Drama,1992,1.0,0.0,0.0,352927224.0,1.0,0.0,0.0
My Cousin Vinny,R,120.0,0.0,7.6,Jonathan Lynn,Dale Launer,Joe Pesci,Comedy,1992,1.0,0.0,0.0,64088552.0,1.0,0.0,0.0
A League of Their Own,PG,128.0,0.0,7.3,Penny Marshall,Kim Wilson,Tom Hanks,Comedy,1992,1.0,0.0,0.0,132440069.0,1.0,0.0,0.0
Scent of a Woman,R,156.0,0.0,8.0,Martin Brest,Giovanni Arpino,Al Pacino,Drama,1993,1.0,0.0,0.0,134095253.0,1.0,0.0,0.0
Aladdin,G,90.0,0.0,8.0,Ron Clements,Ron Clements,Scott Weinger,Animation,1992,1.0,0.0,0.0,504050219.0,1.0,0.0,0.0
Alien 3,R,114.0,0.0,6.5,David Fincher,Dan O'Bannon,Sigourney Weaver,Action,1992,1.0,0.0,0.0,159814498.0,1.0,0.0,0.0
Home Alone 2: Lost in New York,PG,120.0,0.0,6.8,Chris Columbus,John Hughes,Macaulay Culkin,Adventure,1992,1.0,0.0,0.0,358994850.0,1.0,0.0,0.0
Poison Ivy,R,93.0,0.0,5.4,Katt Shea,Melissa Goddard,Drew Barrymore,Drama,1992,1.0,0.0,0.0,1829804.0,1.0,0.0,0.0
Juice,R,95.0,0.0,7.1,Ernest R. Dickerson,Ernest R. Dickerson,Omar Epps,Action,1992,1.0,0.0,0.0,20146880.0,1.0,0.0,0.0
3 Ninjas,PG,84.0,0.0,5.3,Jon Turteltaub,Kenny Kim,Victor Wong,Action,1992,1.0,0.0,0.0,29000301.0,1.0,0.0,0.0
Captain Ron,PG-13,100.0,0.0,5.8,Thom Eberhardt,John Dwyer,Kurt Russell,Adventure,1992,1.0,0.0,0.0,22518097.0,1.0,0.0,0.0
The Cutting Edge,PG,101.0,0.0,6.9,Paul Michael Glaser,Tony Gilroy,D.B. Sweeney,Comedy,1992,1.0,0.0,0.0,25105517.0,1.0,0.0,0.0
Strictly Ballroom,PG,94.0,0.0,7.2,Baz Luhrmann,Baz Luhrmann,Paul Mercurio,Comedy,1993,1.0,0.0,0.0,11749595.0,1.0,0.0,0.0
Raising Cain,R,92.0,0.0,6.1,Brian De Palma,Brian De Palma,John Lithgow,Crime,1992,1.0,0.0,0.0,37170057.0,1.0,0.0,0.0
Split Second,R,90.0,0.0,6.2,Tony Maylam,Gary Scott Thompson,Rutger Hauer,Action,1992,1.0,0.0,0.0,5430822.0,1.0,0.0,0.0
Sidekicks,PG,101.0,0.0,5.1,Aaron Norris,Lou Illar,Chuck Norris,Action,1993,1.0,0.0,0.0,17180393.0,1.0,0.0,0.0
Thunderheart,R,119.0,0.0,6.8,Michael Apted,John Fusco,Val Kilmer,Crime,1992,1.0,0.0,0.0,22660758.0,1.0,0.0,0.0
Stop! Or My Mom Will Shoot,PG-13,87.0,0.0,4.3,Roger Spottiswoode,Blake Snyder,Sylvester Stallone,Action,1992,1.0,0.0,0.0,70611210.0,1.0,0.0,0.0
Innocent Blood,R,112.0,0.0,6.2,John Landis,Michael Wolk,Anne Parillaud,Action,1992,1.0,0.0,0.0,4943279.0,1.0,0.0,0.0
Final Analysis,R,124.0,0.0,5.9,Phil Joanou,Robert Berger,Richard Gere,Drama,1992,1.0,0.0,0.0,28590665.0,1.0,0.0,0.0
Consenting Adults,R,99.0,0.0,5.7,Alan J. Pakula,Matthew Chapman,Kevin Kline,Crime,1992,1.0,0.0,0.0,21591728.0,1.0,0.0,0.0
Fortress,R,95.0,0.0,5.9,Stuart Gordon,Troy Neighbors,Christopher Lambert,Action,1993,1.0,0.0,0.0,6739141.0,1.0,0.0,0.0
Bébé's Kids,PG-13,72.0,0.0,5.8,Bruce W. Smith,Robin Harris,Faizon Love,Animation,1992,1.0,0.0,0.0,8442162.0,1.0,0.0,0.0
Peter's Friends,R,101.0,0.0,7.0,Kenneth Branagh,Rita Rudner,Hugh Laurie,Comedy,1992,1.0,0.0,0.0,4058564.0,1.0,0.0,0.0
Freejack,R,110.0,0.0,5.4,Geoff Murphy,Robert Sheckley,Emilio Estevez,Action,1992,1.0,0.0,0.0,17129026.0,1.0,0.0,0.0
Class Act,PG-13,98.0,0.0,6.1,Randall Miller,Michael Swerdlick,Christopher Reid,Comedy,1992,1.0,0.0,0.0,13272113.0,1.0,0.0,0.0
Diggstown,R,98.0,0.0,7.0,Michael Ritchie,Leonard Wise,James Woods,Drama,1992,1.0,0.0,0.0,4836637.0,1.0,0.0,0.0
Indochine,PG-13,160.0,0.0,7.1,Régis Wargnier,Erik Orsenna,Catherine Deneuve,Drama,1992,1.0,0.0,0.0,5603158.0,1.0,0.0,0.0
Husbands and Wives,R,108.0,0.0,7.5,Woody Allen,Woody Allen,Woody Allen,Comedy,1992,1.0,0.0,0.0,10555619.0,1.0,0.0,0.0
Wind,PG-13,126.0,0.0,6.4,Carroll Ballard,Jeff Benjamin,Matthew Modine,Action,1992,1.0,0.0,0.0,5519569.0,1.0,0.0,0.0
Light Sleeper,R,103.0,0.0,6.8,Paul Schrader,Paul Schrader,Willem Dafoe,Crime,1992,1.0,0.0,0.0,1055987.0,1.0,0.0,0.0
Where the Day Takes You,R,105.0,0.0,6.6,Marc Rocco,Michael Hitchcock,Dermot Mulroney,Crime,1992,1.0,0.0,0.0,390152.0,1.0,0.0,0.0
That Night,PG-13,89.0,0.0,6.6,Craig Bolotin,Alice McDermott,C. Thomas Howell,Drama,1993,1.0,0.0,0.0,20194.0,1.0,0.0,0.0
American Heart,R,113.0,0.0,6.7,Martin Bell,Peter Silverman,Jeff Bridges,Crime,1993,1.0,0.0,0.0,384048.0,1.0,0.0,0.0
Into the West,PG,97.0,0.0,7.0,Mike Newell,Jim Sheridan,Gabriel Byrne,Adventure,1993,1.0,0.0,0.0,4790801.0,1.0,0.0,0.0
The Playboys,PG-13,117.0,0.0,6.3,Gillies MacKinnon,Shane Connaughton,Albert Finney,Drama,1992,1.0,0.0,0.0,4906900.0,1.0,0.0,0.0
Qing shao nian nuo zha,Not Rated,106.0,0.0,7.6,Ming-liang Tsai,Ming-liang Tsai,Chao-jung Chen,Crime,1994,1.0,0.0,0.0,28791.0,1.0,0.0,0.0
Love Field,PG-13,105.0,0.0,6.6,Jonathan Kaplan,Don Roos,Michelle Pfeiffer,Drama,1993,1.0,0.0,0.0,1014726.0,1.0,0.0,0.0
Mr. Saturday Night,R,119.0,0.0,5.9,Billy Crystal,Billy Crystal,Billy Crystal,Comedy,1992,1.0,0.0,0.0,13351357.0,1.0,0.0,0.0
