title,movie_rating,run_time,meta_score,imdb_rating,director,writer,actor,genre_name,Year,Predictions_BoxOffice,Predictions_Upcoming,label_boxoffice,box_office,Predictions_imbdRating,Predictions_imbd_Upcoming,label_imbd_score
The Shining,R,146.0,0.0,8.4,Stanley Kubrick,Stephen King,Jack Nicholson,Drama,1980,1.0,0.0,0.0,46998772.0,1.0,0.0,0.0
Superman II,PG,127.0,0.0,6.8,Richard Lester,Jerry Siegel,Gene Hackman,Action,1981,1.0,0.0,0.0,108185706.0,1.0,0.0,0.0
Dressed to Kill,R,104.0,0.0,7.1,Brian De Palma,Brian De Palma,Michael Caine,Crime,1980,1.0,0.0,0.0,31899000.0,1.0,0.0,0.0
Somewhere in Time,PG,103.0,0.0,7.2,Jeannot Szwarc,Richard Matheson,Christopher Reeve,Drama,1980,1.0,0.0,0.0,9709597.0,1.0,0.0,0.0
9 to 5,PG,109.0,0.0,6.9,Colin Higgins,Patricia Resnick,Jane Fonda,Comedy,1980,1.0,0.0,0.0,103300686.0,1.0,0.0,0.0
Stir Crazy,R,111.0,0.0,6.8,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,Comedy,1980,1.0,0.0,0.0,101300000.0,1.0,0.0,0.0
Xanadu,PG,96.0,0.0,5.3,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,Fantasy,1980,1.0,0.0,0.0,22762571.0,1.0,0.0,0.0
Prom Night,R,92.0,0.0,5.4,Paul Lynch,William Gray,Leslie Nielsen,Horror,1980,1.0,0.0,0.0,14796236.0,1.0,0.0,0.0
Motel Hell,R,101.0,0.0,6.0,Kevin Connor,Robert Jaffe,Rory Calhoun,Comedy,1980,1.0,0.0,0.0,6342668.0,1.0,0.0,0.0
Breaker Morant,PG,107.0,0.0,7.9,Bruce Beresford,Jonathan Hardy,Edward Woodward,Drama,1980,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Cheech and Chong's Next Movie,R,99.0,0.0,6.1,Tommy Chong,Tommy Chong,Cheech Marin,Comedy,1980,1.0,0.0,0.0,41675194.0,1.0,0.0,0.0
The Nude Bomb,PG,94.0,0.0,5.1,Clive Donner,Mel Brooks,Don Adams,Action,1980,1.0,0.0,0.0,14662035.0,1.0,0.0,0.0
Stardust Memories,PG,89.0,0.0,7.3,Woody Allen,Woody Allen,Woody Allen,Comedy,1980,1.0,0.0,0.0,10389003.0,1.0,0.0,0.0
Melvin and Howard,R,95.0,0.0,6.8,Jonathan Demme,Bo Goldman,Paul Le Mat,Comedy,1980,1.0,0.0,0.0,4309490.0,1.0,0.0,0.0
When Time Ran Out...,PG,121.0,0.0,4.6,James Goldstone,Gordon Thomas,Paul Newman,Action,1980,1.0,0.0,0.0,3763988.0,1.0,0.0,0.0
Oh Heavenly Dog,PG,103.0,0.0,5.4,Joe Camp,Rod Browning,Chevy Chase,Comedy,1980,1.0,0.0,0.0,6216067.0,1.0,0.0,0.0
The Octagon,R,103.0,0.0,5.1,Eric Karson,Leigh Chapman,Chuck Norris,Action,1980,1.0,0.0,0.0,18971000.0,1.0,0.0,0.0
Hangar 18,PG,97.0,0.0,5.3,James L. Conway,Ken Pettus,Darren McGavin,Sci-Fi,1981,1.0,0.0,0.0,0.0,1.0,0.0,0.0
The Competition,PG,123.0,0.0,6.7,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Drama,1980,1.0,0.0,0.0,14287755.0,1.0,0.0,0.0
Fatso,PG,93.0,0.0,6.3,Anne Bancroft,Anne Bancroft,Dom DeLuise,Comedy,1980,1.0,0.0,0.0,7653061.0,1.0,0.0,0.0
Hero at Large,PG,98.0,0.0,6.0,Martin Davidson,AJ Carothers,John Ritter,Comedy,1980,1.0,0.0,0.0,15934737.0,1.0,0.0,0.0
Roadie,PG,106.0,0.0,5.2,Alan Rudolph,Big Boy Medlin,Meat Loaf,Comedy,1980,1.0,0.0,0.0,4226370.0,1.0,0.0,0.0
Phobia,R,94.0,0.0,4.0,John Huston,Gary Sherman,Paul Michael Glaser,Drama,1980,1.0,0.0,0.0,59167.0,1.0,0.0,0.0
Windows,R,96.0,0.0,4.8,Gordon Willis,Barry Siegel,Talia Shire,Drama,1980,1.0,0.0,0.0,2128395.0,1.0,0.0,0.0
"Those Lips, Those Eyes",R,105.0,0.0,6.5,Michael Pressman,David Shaber,Frank Langella,Comedy,1980,1.0,0.0,0.0,804713.0,1.0,0.0,0.0
Gilda Live,R,96.0,0.0,6.8,Mike Nichols,Anne Beatts,Gilda Radner,Comedy,1980,1.0,0.0,0.0,2261507.0,1.0,0.0,0.0
Why Would I Lie?,PG,105.0,0.0,6.5,Larry Peerce,Hollis Hodges,Treat Williams,Comedy,1980,1.0,0.0,0.0,1175855.0,1.0,0.0,0.0
Body Heat,R,113.0,0.0,7.4,Lawrence Kasdan,Lawrence Kasdan,William Hurt,Crime,1981,1.0,0.0,0.0,24058838.0,1.0,0.0,0.0
Escape from New York,R,99.0,0.0,7.2,John Carpenter,John Carpenter,Kurt Russell,Action,1981,1.0,0.0,0.0,25244626.0,1.0,0.0,0.0
Porky's,R,94.0,0.0,6.2,Bob Clark,Bob Clark,Dan Monahan,Comedy,1982,1.0,0.0,0.0,111289673.0,1.0,0.0,0.0
Blow Out,R,108.0,0.0,7.4,Brian De Palma,Brian De Palma,John Travolta,Crime,1981,1.0,0.0,0.0,12000000.0,1.0,0.0,0.0
Stripes,R,106.0,0.0,6.9,Ivan Reitman,Len Blum,Bill Murray,Comedy,1981,1.0,0.0,0.0,85297000.0,1.0,0.0,0.0
Possession,R,124.0,0.0,7.4,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,Drama,1983,1.0,0.0,0.0,1113538.0,1.0,0.0,0.0
The Four Seasons,PG,107.0,0.0,6.8,Alan Alda,Alan Alda,Alan Alda,Comedy,1981,1.0,0.0,0.0,50427646.0,1.0,0.0,0.0
Friday the 13th Part 2,R,87.0,0.0,6.1,Steve Miner,Ron Kurz,Betsy Palmer,Horror,1981,1.0,0.0,0.0,21722776.0,1.0,0.0,0.0
Halloween II,R,92.0,0.0,6.5,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,Horror,1981,1.0,0.0,0.0,25533818.0,1.0,0.0,0.0
Caveman,PG,91.0,0.0,5.8,Carl Gottlieb,Rudy De Luca,Ringo Starr,Comedy,1981,1.0,0.0,0.0,15965924.0,1.0,0.0,0.0
Dead & Buried,R,94.0,0.0,6.6,Gary Sherman,Jeff Millar,James Farentino,Horror,1981,1.0,0.0,0.0,0.0,1.0,0.0,0.0
The Postman Always Rings Twice,R,122.0,0.0,6.6,Bob Rafelson,David Mamet,Jack Nicholson,Crime,1981,1.0,0.0,0.0,12376625.0,1.0,0.0,0.0
Ragtime,PG,155.0,0.0,7.3,Milos Forman,E.L. Doctorow,James Cagney,Drama,1981,1.0,0.0,0.0,14920781.0,1.0,0.0,0.0
Nice Dreams,R,88.0,0.0,6.2,Tommy Chong,Tommy Chong,Cheech Marin,Comedy,1981,1.0,0.0,0.0,37000000.0,1.0,0.0,0.0
Prince of the City,R,167.0,0.0,7.5,Sidney Lumet,Jay Presson Allen,Treat Williams,Crime,1981,1.0,0.0,0.0,8124257.0,1.0,0.0,0.0
The Hand,R,104.0,0.0,5.5,Oliver Stone,Marc Brandel,Michael Caine,Drama,1981,1.0,0.0,0.0,2447576.0,1.0,0.0,0.0
The Night the Lights Went Out in Georgia,PG,112.0,0.0,6.0,Ron Maxwell,Bob Bonney,Kristy McNichol,Drama,1981,1.0,0.0,0.0,14923752.0,1.0,0.0,0.0
Quartet,R,101.0,0.0,6.3,James Ivory,Jean Rhys,Isabelle Adjani,Drama,1981,1.0,0.0,0.0,12042.0,1.0,0.0,0.0
Graduation Day,R,96.0,0.0,4.9,Herb Freed,Anne Marisse,Christopher George,Horror,1981,1.0,0.0,0.0,0.0,1.0,0.0,0.0
American Pop,R,96.0,0.0,7.2,Ralph Bakshi,Ronni Kern,Mews Small,Animation,1981,1.0,0.0,0.0,0.0,1.0,0.0,0.0
An Eye for an Eye,R,106.0,0.0,5.5,Steve Carver,James Bruner,Chuck Norris,Action,1981,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Zoot Suit,R,103.0,0.0,6.8,Luis Valdez,Luis Valdez,Daniel Valdez,Drama,1982,1.0,0.0,0.0,3256082.0,1.0,0.0,0.0
Buddy Buddy,R,96.0,0.0,6.5,Billy Wilder,Francis Veber,Jack Lemmon,Comedy,1981,1.0,0.0,0.0,7258543.0,1.0,0.0,0.0
Modern Romance,R,93.0,0.0,7.0,Albert Brooks,Albert Brooks,Albert Brooks,Comedy,1981,1.0,0.0,0.0,2863642.0,1.0,0.0,0.0
Take This Job and Shove It,PG,100.0,0.0,5.0,Gus Trikonis,Barry Schneider,Robert Hays,Comedy,1981,1.0,0.0,0.0,17569027.0,1.0,0.0,0.0
Raggedy Man,R,94.0,0.0,6.8,Jack Fisk,William D. Wittliff,Sissy Spacek,Drama,1981,1.0,0.0,0.0,1976198.0,1.0,0.0,0.0
All Night Long,R,87.0,0.0,5.5,Jean-Claude Tramont,W.D. Richter,Gene Hackman,Comedy,1981,1.0,0.0,0.0,4454295.0,1.0,0.0,0.0
The Devil and Max Devlin,PG,96.0,0.0,5.0,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,Comedy,1981,1.0,0.0,0.0,16000000.0,1.0,0.0,0.0
Longshot,TV-PG,100.0,0.0,5.1,E.W. Swackhamer,Barry Rosen,Leif Garrett,Comedy,1981,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Comin' at Ya!,R,91.0,0.0,5.1,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,Western,1981,1.0,0.0,0.0,12000000.0,1.0,0.0,0.0
An Officer and a Gentleman,R,124.0,0.0,7.0,Taylor Hackford,Douglas Day Stewart,Richard Gere,Drama,1982,1.0,0.0,0.0,129795554.0,1.0,0.0,0.0
Annie,PG,127.0,0.0,6.6,John Huston,Carol Sobieski,Aileen Quinn,Comedy,1982,1.0,0.0,0.0,57063861.0,1.0,0.0,0.0
Sophie's Choice,R,150.0,0.0,7.6,Alan J. Pakula,William Styron,Meryl Streep,Drama,1983,1.0,0.0,0.0,30036000.0,1.0,0.0,0.0
Gandhi,PG,191.0,0.0,8.0,Richard Attenborough,John Briley,Ben Kingsley,Biography,1983,1.0,0.0,0.0,52767889.0,1.0,0.0,0.0
The King of Comedy,PG,109.0,0.0,7.8,Martin Scorsese,Paul D. Zimmerman,Robert De Niro,Comedy,1983,1.0,0.0,0.0,2536242.0,1.0,0.0,0.0
Rocky III,PG,99.0,0.0,6.8,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Drama,1982,1.0,0.0,0.0,125052686.0,1.0,0.0,0.0
Fanny and Alexander,R,188.0,0.0,8.1,Ingmar Bergman,Ingmar Bergman,Bertil Guve,Drama,1982,1.0,0.0,0.0,6795771.0,1.0,0.0,0.0
Firefox,PG,136.0,0.0,6.0,Clint Eastwood,Alex Lasker,Clint Eastwood,Action,1982,1.0,0.0,0.0,46708276.0,1.0,0.0,0.0
Halloween III: Season of the Witch,R,98.0,0.0,5.0,Tommy Lee Wallace,Tommy Lee Wallace,Tom Atkins,Horror,1982,1.0,0.0,0.0,14400000.0,1.0,0.0,0.0
The Verdict,R,129.0,0.0,7.7,Sidney Lumet,Barry Reed,Paul Newman,Drama,1982,1.0,0.0,0.0,53993738.0,1.0,0.0,0.0
The Best Little Whorehouse in Texas,R,114.0,0.0,6.0,Colin Higgins,Larry L. King,Burt Reynolds,Comedy,1982,1.0,0.0,0.0,69701637.0,1.0,0.0,0.0
The Entity,R,125.0,0.0,6.7,Sidney J. Furie,Frank De Felitta,Barbara Hershey,Drama,1983,1.0,0.0,0.0,13277558.0,1.0,0.0,0.0
The Toy,PG,102.0,0.0,5.8,Richard Donner,Francis Veber,Richard Pryor,Comedy,1982,1.0,0.0,0.0,47118057.0,1.0,0.0,0.0
The House on Sorority Row,R,91.0,0.0,6.0,Mark Rosman,Mark Rosman,Kate McNeil,Horror,1983,1.0,0.0,0.0,10604986.0,1.0,0.0,0.0
Death Wish II,R,89.0,0.0,6.0,Michael Winner,David Engelbach,Charles Bronson,Action,1982,1.0,0.0,0.0,16100000.0,1.0,0.0,0.0
Personal Best,R,128.0,0.0,6.3,Robert Towne,Robert Towne,Mariel Hemingway,Drama,1982,1.0,0.0,0.0,5672311.0,1.0,0.0,0.0
The Seduction,R,104.0,0.0,4.9,David Schmoeller,David Schmoeller,Morgan Fairchild,Thriller,1982,1.0,0.0,0.0,11378339.0,1.0,0.0,0.0
Time Walker,PG,83.0,0.0,3.6,Tom Kennedy,Jason Williams,Ben Murphy,Horror,1982,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Tempest,PG,140.0,0.0,6.5,Paul Mazursky,Paul Mazursky,John Cassavetes,Comedy,1982,1.0,0.0,0.0,5005245.0,1.0,0.0,0.0
My Favorite Year,PG,92.0,0.0,7.4,Richard Benjamin,Norman Steinberg,Peter O'Toole,Comedy,1982,1.0,0.0,0.0,20123620.0,1.0,0.0,0.0
A Midsummer Night's Sex Comedy,PG,88.0,0.0,6.6,Woody Allen,Woody Allen,Woody Allen,Comedy,1982,1.0,0.0,0.0,9077269.0,1.0,0.0,0.0
A Little Sex,R,95.0,0.0,4.9,Bruce Paltrow,Robert De Laurentiis,Tim Matheson,Comedy,1982,1.0,0.0,0.0,2370376.0,1.0,0.0,0.0
Split Image,R,110.0,0.0,6.5,Ted Kotcheff,Scott Spencer,Michael O'Keefe,Drama,1982,1.0,0.0,0.0,263635.0,1.0,0.0,0.0
The Challenge,R,108.0,0.0,6.3,John Frankenheimer,Richard Maxwell,Scott Glenn,Action,1982,1.0,0.0,0.0,2977706.0,1.0,0.0,0.0
Wrong Is Right,R,117.0,0.0,5.7,Richard Brooks,Charles McCarry,Sean Connery,Comedy,1982,1.0,0.0,0.0,3583513.0,1.0,0.0,0.0
Forced Vengeance,R,90.0,0.0,5.6,James Fargo,Franklin Thompson,Chuck Norris,Action,1982,1.0,0.0,0.0,6660333.0,1.0,0.0,0.0
Five Days One Summer,PG,108.0,0.0,6.1,Fred Zinnemann,Michael Austin,Sean Connery,Drama,1982,1.0,0.0,0.0,199078.0,1.0,0.0,0.0
"Yes, Giorgio",PG,110.0,0.0,3.9,Franklin J. Schaffner,Anne Piper,Luciano Pavarotti,Comedy,1982,1.0,0.0,0.0,2279543.0,1.0,0.0,0.0
Fighting Back,R,98.0,0.0,6.1,Lewis Teague,Thomas Hedley Jr.,Tom Skerritt,Action,1982,1.0,0.0,0.0,3355948.0,1.0,0.0,0.0
Kamikaze 89,Not Rated,106.0,0.0,5.8,Wolf Gremm,Robert Katz,Rainer Werner Fassbinder,Sci-Fi,1982,1.0,0.0,0.0,22440.0,1.0,0.0,0.0
Heidi's Song,G,94.0,0.0,6.3,Robert Taylor,Joseph Barbera,Lorne Greene,Animation,1982,1.0,0.0,0.0,5124391.0,1.0,0.0,0.0
Love Child,R,96.0,0.0,5.7,Larry Peerce,Anne Gerard,Amy Madigan,Crime,1982,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Boardinghouse,R,98.0,0.0,3.8,John Wintergate,John Wintergate,John Wintergate,Comedy,1983,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Experience Preferred... But Not Essential,PG,80.0,0.0,7.0,Peter Duffell,June Roberts,Elizabeth Edmonds,Drama,1982,1.0,0.0,0.0,0.0,1.0,0.0,0.0
The Personals,PG,90.0,0.0,6.7,Peter Markle,Peter Markle,Bill Schoppert,Comedy,1982,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Trading Places,R,116.0,0.0,7.5,John Landis,Timothy Harris,Eddie Murphy,Comedy,1983,1.0,0.0,0.0,90404800.0,1.0,0.0,0.0
Superman III,PG,125.0,0.0,5.0,Richard Lester,Jerry Siegel,Christopher Reeve,Action,1983,1.0,0.0,0.0,59950623.0,1.0,0.0,0.0
The Big Chill,R,105.0,0.0,7.2,Lawrence Kasdan,Lawrence Kasdan,Tom Berenger,Comedy,1983,1.0,0.0,0.0,56399659.0,1.0,0.0,0.0
Flashdance,R,95.0,0.0,6.2,Adrian Lyne,Thomas Hedley Jr.,Jennifer Beals,Drama,1983,1.0,0.0,0.0,92921203.0,1.0,0.0,0.0
Private School,R,89.0,0.0,5.3,Noel Black,Dan Greenburg,Phoebe Cates,Comedy,1983,1.0,0.0,0.0,14049540.0,1.0,0.0,0.0
Valley Girl,R,99.0,0.0,6.4,Martha Coolidge,Andrew Lane,Nicolas Cage,Comedy,1983,1.0,0.0,0.0,17343596.0,1.0,0.0,0.0
Videodrome,R,87.0,0.0,7.2,David Cronenberg,David Cronenberg,James Woods,Horror,1983,1.0,0.0,0.0,2120439.0,1.0,0.0,0.0
Twilight Zone: The Movie,PG,101.0,0.0,6.5,Directors,John Landis,Dan Aykroyd,Horror,1983,1.0,0.0,0.0,29450919.0,1.0,0.0,0.0
Cujo,R,93.0,0.0,6.1,Lewis Teague,Stephen King,Dee Wallace,Horror,1983,1.0,0.0,0.0,21156152.0,1.0,0.0,0.0
Yentl,PG,133.0,0.0,6.6,Barbra Streisand,Jack Rosenthal,Barbra Streisand,Drama,1984,1.0,0.0,0.0,40218899.0,1.0,0.0,0.0
The Meaning of Life,R,107.0,0.0,7.5,Terry Jones,Graham Chapman,John Cleese,Comedy,1983,1.0,0.0,0.0,14949697.0,1.0,0.0,0.0
Hot Dog... The Movie,R,96.0,0.0,5.0,Peter Markle,Mike Marvin,David Naughton,Comedy,1984,1.0,0.0,0.0,20307325.0,1.0,0.0,0.0
Porky's II: The Next Day,R,98.0,0.0,5.0,Bob Clark,Roger Swaybill,Dan Monahan,Comedy,1983,1.0,0.0,0.0,33759266.0,1.0,0.0,0.0
Tender Mercies,PG,92.0,0.0,7.4,Bruce Beresford,Horton Foote,Robert Duvall,Drama,1983,1.0,0.0,0.0,8443124.0,1.0,0.0,0.0
Gorky Park,R,128.0,0.0,6.7,Michael Apted,Martin Cruz Smith,William Hurt,Crime,1983,1.0,0.0,0.0,15856028.0,1.0,0.0,0.0
Lone Wolf McQuade,PG,107.0,0.0,6.3,Steve Carver,B.J. Nelson,Chuck Norris,Action,1983,1.0,0.0,0.0,12232628.0,1.0,0.0,0.0
The Man with Two Brains,R,93.0,0.0,6.4,Carl Reiner,George Gipe,Steve Martin,Comedy,1983,1.0,0.0,0.0,10353438.0,1.0,0.0,0.0
Stroker Ace,PG,96.0,0.0,4.9,Hal Needham,William Neely,Burt Reynolds,Action,1983,1.0,0.0,0.0,13000000.0,1.0,0.0,0.0
Rock & Rule,PG,77.0,0.0,6.5,Clive Smith,Patrick Loubert,Don Francks,Animation,1987,1.0,0.0,0.0,30379.0,1.0,0.0,0.0
The Osterman Weekend,R,103.0,0.0,5.9,Sam Peckinpah,Robert Ludlum,Rutger Hauer,Action,1983,1.0,0.0,0.0,6486797.0,1.0,0.0,0.0
Zelig,PG,79.0,0.0,7.7,Woody Allen,Woody Allen,Woody Allen,Comedy,1983,1.0,0.0,0.0,11798616.0,1.0,0.0,0.0
Eureka,R,130.0,0.0,6.0,Nicolas Roeg,Marshall Houts,Gene Hackman,Drama,1983,1.0,0.0,0.0,123572.0,1.0,0.0,0.0
The Wicked Lady,R,98.0,0.0,4.7,Michael Winner,Leslie Arliss,Faye Dunaway,Adventure,1983,1.0,0.0,0.0,724912.0,1.0,0.0,0.0
Of Unknown Origin,R,88.0,0.0,6.1,George P. Cosmatos,Chauncey G. Parker III,Peter Weller,Horror,1983,1.0,0.0,0.0,1080470.0,1.0,0.0,0.0
D.C. Cab,R,100.0,0.0,5.5,Joel Schumacher,Topper Carew,Max Gail,Action,1983,1.0,0.0,0.0,16134627.0,1.0,0.0,0.0
Beyond the Limit,R,104.0,0.0,5.7,John Mackenzie,Graham Greene,Michael Caine,Drama,1983,1.0,0.0,0.0,5997566.0,1.0,0.0,0.0
The Dresser,PG,118.0,0.0,7.6,Peter Yates,Ronald Harwood,Albert Finney,Drama,1983,1.0,0.0,0.0,5310748.0,1.0,0.0,0.0
The Lords of Discipline,R,102.0,0.0,6.6,Franc Roddam,Pat Conroy,David Keith,Thriller,1983,1.0,0.0,0.0,11787127.0,1.0,0.0,0.0
Nightmares,R,99.0,0.0,5.8,Joseph Sargent,Christopher Crowe,Cristina Raines,Horror,1983,1.0,0.0,0.0,6670680.0,1.0,0.0,0.0
Max Dugan Returns,PG,98.0,0.0,6.6,Herbert Ross,Neil Simon,Jason Robards,Comedy,1983,1.0,0.0,0.0,17613720.0,1.0,0.0,0.0
Baby It's You,R,105.0,0.0,6.3,John Sayles,Amy Robinson,Rosanna Arquette,Comedy,1983,1.0,0.0,0.0,1867792.0,1.0,0.0,0.0
Heat and Dust,R,130.0,0.0,6.6,James Ivory,Ruth Prawer Jhabvala,Julie Christie,Drama,1983,1.0,0.0,0.0,1772889.0,1.0,0.0,0.0
Daniel,R,130.0,0.0,6.6,Sidney Lumet,E.L. Doctorow,Timothy Hutton,Drama,1984,1.0,0.0,0.0,687475.0,1.0,0.0,0.0
Heart Like a Wheel,PG,113.0,0.0,6.7,Jonathan Kaplan,Ken Friedman,Bonnie Bedelia,Biography,1983,1.0,0.0,0.0,272278.0,1.0,0.0,0.0
Love Letters,R,88.0,0.0,5.9,Amy Holden Jones,Amy Holden Jones,Jamie Lee Curtis,Drama,1984,1.0,0.0,0.0,5269990.0,1.0,0.0,0.0
The Black Stallion Returns,PG,103.0,0.0,6.0,Robert Dalva,Walter Farley,Kelly Reno,Adventure,1983,1.0,0.0,0.0,12049514.0,1.0,0.0,0.0
Getting It on,R,96.0,0.0,3.7,William Olsen,William Olsen,Martin Yost,Comedy,1983,1.0,0.0,0.0,975414.0,1.0,0.0,0.0
Better Late Than Never,PG,89.0,0.0,5.8,Bryan Forbes,Gwen Davis,David Niven,Comedy,1983,1.0,0.0,0.0,0.0,1.0,0.0,0.0
The Man Who Wasn't There,R,111.0,0.0,3.8,Bruce Malmuth,Stanford Sherman,Steve Guttenberg,Action,1983,1.0,0.0,0.0,2443487.0,1.0,0.0,0.0
"Man, Woman and Child",PG,99.0,0.0,6.1,Dick Richards,Erich Segal,Martin Sheen,Drama,1983,1.0,0.0,0.0,2314561.0,1.0,0.0,0.0
Cross Country,R,95.0,0.0,5.4,Paul Lynch,Herbert Kastle,Richard Beymer,Thriller,1983,1.0,0.0,0.0,0.0,1.0,0.0,0.0
The Golden Seal,PG,94.0,0.0,5.3,Frank Zuniga,Donald G. Payne,Steve Railsback,Drama,1983,1.0,0.0,0.0,6666725.0,1.0,0.0,0.0
The Terminator,R,107.0,0.0,8.0,James Cameron,James Cameron,Arnold Schwarzenegger,Action,1984,1.0,0.0,0.0,78371200.0,1.0,0.0,0.0
The Karate Kid,PG,126.0,0.0,7.3,John G. Avildsen,Robert Mark Kamen,Ralph Macchio,Action,1984,1.0,0.0,0.0,91119319.0,1.0,0.0,0.0
Once Upon a Time in America,R,229.0,0.0,8.4,Sergio Leone,Harry Grey,Robert De Niro,Crime,1984,1.0,0.0,0.0,5473212.0,1.0,0.0,0.0
Body Double,R,114.0,0.0,6.8,Brian De Palma,Robert J. Avrech,Craig Wasson,Crime,1984,1.0,0.0,0.0,8801940.0,1.0,0.0,0.0
Amadeus,PG,160.0,0.0,8.3,Milos Forman,Peter Shaffer,F. Murray Abraham,Biography,1984,1.0,0.0,0.0,52066791.0,1.0,0.0,0.0
Beverly Hills Cop,R,105.0,0.0,7.3,Martin Brest,Daniel Petrie Jr.,Eddie Murphy,Action,1984,1.0,0.0,0.0,316360478.0,1.0,0.0,0.0
Streets of Fire,PG,93.0,0.0,6.7,Walter Hill,Walter Hill,Michael Paré,Action,1984,1.0,0.0,0.0,8089290.0,1.0,0.0,0.0
Sixteen Candles,PG,93.0,0.0,7.0,John Hughes,John Hughes,Molly Ringwald,Comedy,1984,1.0,0.0,0.0,23686027.0,1.0,0.0,0.0
Top Secret!,PG,90.0,0.0,7.2,Jim Abrahams,Jim Abrahams,Val Kilmer,Comedy,1984,1.0,0.0,0.0,20458340.0,1.0,0.0,0.0
Blood Simple,R,99.0,0.0,7.6,Joel Coen,Joel Coen,John Getz,Crime,1985,1.0,0.0,0.0,4228292.0,1.0,0.0,0.0
Hardbodies,R,88.0,0.0,4.9,Mark Griffiths,Steve Greene,Grant Cramer,Comedy,1984,1.0,0.0,0.0,7121719.0,1.0,0.0,0.0
Against All Odds,R,128.0,0.0,5.9,Taylor Hackford,Eric Hughes,Rachel Ward,Action,1984,1.0,0.0,0.0,21689062.0,1.0,0.0,0.0
The Bounty,PG,132.0,0.0,7.0,Roger Donaldson,Robert Bolt,Mel Gibson,Adventure,1984,1.0,0.0,0.0,8613462.0,1.0,0.0,0.0
C.H.U.D.,R,88.0,0.0,5.6,Douglas Cheek,Parnell Hall,John Heard,Horror,1984,1.0,0.0,0.0,4654423.0,1.0,0.0,0.0
The Woman in Red,PG-13,87.0,0.0,6.0,Gene Wilder,Jean-Loup Dabadie,Gene Wilder,Comedy,1984,1.0,0.0,0.0,25348610.0,1.0,0.0,0.0
Star Trek III: The Search for Spock,PG,105.0,0.0,6.7,Leonard Nimoy,Gene Roddenberry,William Shatner,Action,1984,1.0,0.0,0.0,76471046.0,1.0,0.0,0.0
2010: the Year We Make Contact,PG,116.0,0.0,6.8,Peter Hyams,Arthur C. Clarke,Roy Scheider,Adventure,1984,1.0,0.0,0.0,40400657.0,1.0,0.0,0.0
Crimes of Passion,R,107.0,0.0,6.4,Ken Russell,Barry Sandler,Kathleen Turner,Drama,1984,1.0,0.0,0.0,2912945.0,1.0,0.0,0.0
The Hotel New Hampshire,R,109.0,0.0,6.0,Tony Richardson,John Irving,Rob Lowe,Comedy,1984,1.0,0.0,0.0,5142858.0,1.0,0.0,0.0
Missing in Action,R,101.0,0.0,5.5,Joseph Zito,Arthur Silver,Chuck Norris,Action,1984,1.0,0.0,0.0,22812411.0,1.0,0.0,0.0
Falling in Love,PG-13,106.0,0.0,6.5,Ulu Grosbard,Michael Cristofer,Robert De Niro,Drama,1984,1.0,0.0,0.0,11129057.0,1.0,0.0,0.0
Gwendoline,R,87.0,0.0,5.3,Just Jaeckin,Just Jaeckin,Tawny Kitaen,Action,1985,1.0,0.0,0.0,1337274.0,1.0,0.0,0.0
The Company of Wolves,R,95.0,0.0,6.7,Neil Jordan,Angela Carter,Sarah Patterson,Drama,1985,1.0,0.0,0.0,4389334.0,1.0,0.0,0.0
"Silent Night, Deadly Night",R,79.0,0.0,5.9,Charles E. Sellier Jr.,Paul Caimi,Lilyan Chauvin,Horror,1984,1.0,0.0,0.0,2491460.0,1.0,0.0,0.0
The Pope of Greenwich Village,R,121.0,0.0,6.7,Stuart Rosenberg,Vincent Patrick,Eric Roberts,Action,1984,1.0,0.0,0.0,6836201.0,1.0,0.0,0.0
Where the Boys Are,R,94.0,0.0,4.1,Hy Averback,Stu Krieger,Lisa Hartman,Comedy,1984,1.0,0.0,0.0,10530000.0,1.0,0.0,0.0
Reckless,R,90.0,0.0,6.3,James Foley,Chris Columbus,Aidan Quinn,Comedy,1984,1.0,0.0,0.0,8289916.0,1.0,0.0,0.0
Tightrope,R,114.0,0.0,6.3,Richard Tuggle,Richard Tuggle,Clint Eastwood,Crime,1984,1.0,0.0,0.0,48143579.0,1.0,0.0,0.0
Rhinestone,PG,111.0,0.0,3.9,Bob Clark,Phil Alden Robinson,Sylvester Stallone,Comedy,1984,1.0,0.0,0.0,21435321.0,1.0,0.0,0.0
Swing Shift,PG,100.0,0.0,5.9,Jonathan Demme,Nancy Dowd,Goldie Hawn,Drama,1984,1.0,0.0,0.0,6650206.0,1.0,0.0,0.0
