movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office,director,writer,actor,genre_name
42,Breaker Morant,PG,1980-07-03,107.0,0.0,7.9,0.0,Bruce Beresford,Jonathan Hardy,Edward Woodward,Drama
43,The Stunt Man,R,1980-06-27,131.0,0.0,7.1,7063886.0,Richard Rush,Lawrence B. Marcus,Peter O'Toole,Action
44,Where the Buffalo Roam,R,1980-04-25,99.0,0.0,6.6,6659377.0,Art Linson,Hunter S. Thompson,Peter Boyle,Biography
45,The Awakening,R,1980-10-31,101.0,0.0,4.8,8415112.0,Mike Newell,Allan Scott,Charlton Heston,Horror
46,Cheech and Chong's Next Movie,R,1980-07-18,99.0,0.0,6.1,41675194.0,Tommy Chong,Tommy Chong,Cheech Marin,Comedy
47,The Island,R,1980-06-13,109.0,0.0,5.3,15716828.0,Michael Ritchie,Peter Benchley,Michael Caine,Action
48,The Boogey Man,R,1980-11-07,82.0,0.0,4.6,0.0,Ulli Lommel,Ulli Lommel,Suzanna Love,Horror
49,The Nude Bomb,PG,1980-05-09,94.0,0.0,5.1,14662035.0,Clive Donner,Mel Brooks,Don Adams,Action
50,Lion of the Desert,PG,1981-05-16,173.0,0.0,8.3,0.0,Moustapha Akkad,David Butler,Anthony Quinn,Biography
51,Stardust Memories,PG,1980-09-26,89.0,0.0,7.3,10389003.0,Woody Allen,Woody Allen,Woody Allen,Comedy
52,Melvin and Howard,R,1980-09-19,95.0,0.0,6.8,4309490.0,Jonathan Demme,Bo Goldman,Paul Le Mat,Comedy
53,Can't Stop the Music,PG,1980-06-20,124.0,0.0,4.2,0.0,Nancy Walker,Bronte Woodard,Ray Simpson,Biography
54,Bronco Billy,PG,1980-06-11,116.0,0.0,6.1,24265659.0,Clint Eastwood,Dennis Hackin,Clint Eastwood,Action
55,City of Women,R,1981-04-08,139.0,0.0,7.0,12516.0,Federico Fellini,Federico Fellini,Marcello Mastroianni,Comedy
56,The Private Eyes,PG,1980-11-21,91.0,0.0,6.7,0.0,Lang Elliott,Tim Conway,Tim Conway,Comedy
57,When Time Ran Out...,PG,1980-03-28,121.0,0.0,4.6,3763988.0,James Goldstone,Gordon Thomas,Paul Newman,Action
58,Oh Heavenly Dog,PG,1980-07-11,103.0,0.0,5.4,6216067.0,Joe Camp,Rod Browning,Chevy Chase,Comedy
