movie_id,title,movie_rating,genre_name,imdb_rating,director,writer,actors,box_office,run_time,release_date,meta_score
33,Firestarter,R,"Drama, Horror, Sci-Fi",0.0,Keith Thomas,"Stephen King, Scott Teems","Zac Efron, Gloria Reuben, Ryan Kiera Armstrong",0.0,0,1970-01-01,0.0
34,Downton Abbey: A New Era,PG,"Drama, Romance",0.0,Simon Curtis,Julian Fellowes,"Maggie Smith, Michelle Dockery, Laura Haddock",0.0,0,2022-05-20,0.0
35,Men,0,"Drama, Horror, Sci-Fi",0.0,Alex Garland,Alex Garland,"Jessie Buckley, Rory Kinnear, Paapa Essiedu",0.0,0,2022-05-20,0.0
36,DC League of Super-Pets,0,"Animation, Action, Adventure",0.0,"Jared Stern, Sam Levine","Jared Stern, John Whittington","Dwayne Johnson, Kevin Hart, Vanessa Bayer",0.0,0,2022-05-20,0.0
37,Top Gun: Maverick,PG-13,"Action, Drama",0.0,Joseph Kosinski,"Ehren Kruger, Eric Warren Singer, Christopher McQuarrie","Tom Cruise, Jennifer Connelly, Miles Teller",0.0,0,2022-05-27,0.0
38,The Bob's Burgers Movie,PG-13,"Animation, Adventure, Comedy",0.0,"Loren Bouchard, Bernard Derriman","Loren Bouchard, Jim Dauterive, Nora Smith","H. Jon Benjamin, Kristen Schaal, Dan Mintz",0.0,0,2022-05-27,0.0
39,Terror on the Prairie,0,Western,0.0,Michael Polish,Josiah Nelson,"Gina Carano, Nick Searcy, Samaire Armstrong",0.0,0,1970-01-01,0.0
40,Jurassic World Dominion,PG-13,"Action, Adventure, Sci-Fi",0.0,Colin Trevorrow,"Colin Trevorrow, Emily Carmichael, Derek Connolly","Bryce Dallas Howard, Chris Pratt, Dichen Lachman",0.0,0,2022-06-10,0.0
41,Lightyear,0,"Animation, Action, Adventure",0.0,Angus MacLane,"Pete Docter, Andrew Stanton, John Lasseter","Chris Evans, Taika Waititi, Keke Palmer",0.0,0,2022-06-17,0.0
42,Red Elvis: The Cold War Cowboy,0,Documentary,7.5,Thomas Latter,0,0,0.0,91,2022-01-20,0.0
43,Shotgun Wedding,0,"Action, Comedy, Romance",0.0,Jason Moore,"Mark Hammer, Elizabeth Meriwether","Jennifer Lopez, Jennifer Coolidge, Josh Duhamel",0.0,0,2022-06-29,0.0
44,Minions 2: The Rise of Gru,PG,"Animation, Adventure, Comedy",0.0,"Kyle Balda, Brad Ableson, Jonathan del Val","Brian Lynch, Matthew Fogel, Cinco Paul","Steve Carell, Pierre Coffin, Taraji P. Henson",0.0,90,2022-07-01,0.0
45,Thor: Love and Thunder,0,"Action, Adventure, Fantasy",0.0,Taika Waititi,"Stan Lee, Jennifer Kaytin Robinson, Taika Waititi","Taika Waititi, Karen Gillan, Natalie Portman",0.0,0,2022-07-08,0.0
46,Bullet Train,0,"Action, Thriller",0.0,David Leitch,"Kôtarô Isaka, Zak Olkewicz","Sandra Bullock, Brad Pitt, Aaron Taylor-Johnson",0.0,0,2022-07-15,0.0
