movie_id,title,movie_rating,release_date,run_time,genre_name,director,writer,actors,language,meta_score,imdb_rating,box_office,Trash
31,What's Happening ... Refugees,0,1970-01-01,0,Documentary,Ted Kamp,0,0,English,0.0,0.0,0.0,
32,The Twin,0,2022-04-21,0,Horror,Taneli Mustonen,"Aleksi Hyvärinen, Taneli Mustonen","Teresa Palmer, Steven Cree, Barbara Marten",English,0.0,0.0,0.0,
33,Firestarter,R,1970-01-01,0,"Drama, Horror, Sci-Fi",Keith Thomas,"Stephen King, Scott Teems","Zac Efron, Gloria Reuben, Ryan Kiera Armstrong",English,0.0,0.0,0.0,
34,Downton Abbey: A New Era,PG,2022-05-20,0,"Drama, Romance",Simon Curtis,Julian Fellowes,"Maggie Smith, Michelle Dockery, Laura Haddock",English,0.0,0.0,0.0,
35,Men,0,2022-05-20,0,"Drama, Horror, Sci-Fi",Alex Garland,Alex Garland,"Jessie Buckley, Rory Kinnear, Paapa Essiedu",English,0.0,0.0,0.0,
36,DC League of Super-Pets,0,2022-05-20,0,"Animation, Action, Adventure","Jared Stern, Sam Levine","Jared Stern, John Whittington","Dwayne Johnson, Kevin Hart, Vanessa Bayer",English,0.0,0.0,0.0,
37,Top Gun: Maverick,PG-13,2022-05-27,0,"Action, Drama",Joseph Kosinski,"Ehren Kruger, Eric Warren Singer, Christopher McQuarrie","Tom Cruise, Jennifer Connelly, Miles Teller",English,0.0,0.0,0.0,
38,The Bob's Burgers Movie,PG-13,2022-05-27,0,"Animation, Adventure, Comedy","Loren Bouchard, Bernard Derriman","Loren Bouchard, Jim Dauterive, Nora Smith","H. Jon Benjamin, Kristen Schaal, Dan Mintz","English, German",0.0,0.0,0.0,
39,Terror on the Prairie,0,1970-01-01,0,Western,Michael Polish,Josiah Nelson,"Gina Carano, Nick Searcy, Samaire Armstrong",0,0.0,0.0,0.0,
40,Jurassic World Dominion,PG-13,2022-06-10,0,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Colin Trevorrow, Emily Carmichael, Derek Connolly","Bryce Dallas Howard, Chris Pratt, Dichen Lachman",English,0.0,0.0,0.0,
41,Lightyear,0,2022-06-17,0,"Animation, Action, Adventure",Angus MacLane,"Pete Docter, Andrew Stanton, John Lasseter","Chris Evans, Taika Waititi, Keke Palmer",English,0.0,0.0,0.0,
42,Red Elvis: The Cold War Cowboy,0,2022-01-20,91,Documentary,Thomas Latter,0,0,English,0.0,7.5,0.0,min
43,Shotgun Wedding,0,2022-06-29,0,"Action, Comedy, Romance",Jason Moore,"Mark Hammer, Elizabeth Meriwether","Jennifer Lopez, Jennifer Coolidge, Josh Duhamel",English,0.0,0.0,0.0,
44,Minions 2: The Rise of Gru,PG,2022-07-01,90,"Animation, Adventure, Comedy","Kyle Balda, Brad Ableson, Jonathan del Val","Brian Lynch, Matthew Fogel, Cinco Paul","Steve Carell, Pierre Coffin, Taraji P. Henson","English, Vietnamese",0.0,0.0,0.0,min
45,Thor: Love and Thunder,0,2022-07-08,0,"Action, Adventure, Fantasy",Taika Waititi,"Stan Lee, Jennifer Kaytin Robinson, Taika Waititi","Taika Waititi, Karen Gillan, Natalie Portman",English,0.0,0.0,0.0,
46,Bullet Train,0,2022-07-15,0,"Action, Thriller",David Leitch,"Kôtarô Isaka, Zak Olkewicz","Sandra Bullock, Brad Pitt, Aaron Taylor-Johnson",English,0.0,0.0,0.0,
47,Mrs Harris Goes to Paris,0,2022-05-06,0,Drama,Anthony Fabian,"Carroll Cartwright, Anthony Fabian, Paul Gallico","Jason Isaacs, Lucas Bravo, Alba Baptista",English,0.0,0.0,0.0,
48,The Wrong Place,0,2022-07-15,0,Thriller,Mike Burns,Bill Lawrence,"Bruce Willis, Ashley Greene, Michael Sirow",English,0.0,0.0,0.0,
49,Nope,0,2022-07-22,0,Horror,Jordan Peele,Jordan Peele,"Barbie Ferreira, Keke Palmer, Michael Wincott",English,0.0,0.0,0.0,
50,Where the Crawdads Sing,0,2022-07-22,0,"Drama, Mystery",Olivia Newman,"Lucy Alibar, Delia Owens","David Strathairn, Eric Ladin, Harris Dickinson",English,0.0,0.0,0.0,
51,Blazing Samurai,0,2022-07-22,0,"Animation, Action, Comedy","Mark Koetsier, Rob Minkoff, Chris Bailey","Nate Hopper, Mel Brooks, Andrew Bergman","Ricky Gervais, Samuel L. Jackson, Michelle Yeoh",English,0.0,0.0,0.0,
52,Black Adam,0,2022-07-29,0,"Action, Fantasy, Sci-Fi",Jaume Collet-Serra,"Adam Sztykiel, Rory Haines, Sohrab Noshirvani","Dwayne Johnson, Sarah Shahi, Pierce Brosnan",English,0.0,0.0,0.0,
