movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office
84,The King and the Mockingbird,Not Rated,1980-03-19,83.0,0.0,7.9,167451.0
85,"Oh, God! Book II",PG,1980-10-03,94.0,0.0,5.2,14504277.0
86,"Those Lips, Those Eyes",R,1980-08-15,105.0,0.0,6.5,804713.0
87,La Cage aux Folles II,R,1981-02-15,102.0,0.0,5.8,6950125.0
88,The Gong Show Movie,R,1980-05-23,89.0,0.0,4.3,6621520.0
89,Gilda Live,R,1980-03-28,96.0,0.0,6.8,2261507.0
90,Why Would I Lie?,PG,1980-08-08,105.0,0.0,6.5,1175855.0
91,First Family,R,1980-12-25,97.0,0.0,4.3,15198912.0
92,Mantis Fist Fighter,,1982-07-09,89.0,0.0,6.7,0.0
93,Indiana Jones and the Raiders of the Lost Ark,PG,1981-06-12,115.0,0.0,8.4,389925971.0
94,Body Heat,R,1981-08-28,113.0,0.0,7.4,24058838.0
95,An American Werewolf in London,R,1981-08-21,97.0,0.0,7.5,30669378.0
96,Escape from New York,R,1981-07-10,99.0,0.0,7.2,25244626.0
97,The Evil Dead,NC-17,1983-04-15,85.0,0.0,7.5,2956630.0
98,Porky's,R,1982-03-19,94.0,0.0,6.2,111289673.0
99,Blow Out,R,1981-07-24,108.0,0.0,7.4,12000000.0
100,Clash of the Titans,PG,1981-06-12,118.0,0.0,6.9,41092328.0
101,Excalibur,R,1981-04-10,140.0,0.0,7.4,34971136.0
102,Mad Max 2,R,1982-05-21,96.0,0.0,7.6,23668369.0
103,Das Boot,,1982-02-10,149.0,0.0,8.3,11487676.0
104,Stripes,R,1981-06-26,106.0,0.0,6.9,85297000.0
105,Possession,R,1983-10-28,124.0,0.0,7.4,1113538.0
106,The Cannonball Run,PG,1981-06-19,95.0,0.0,6.2,72179579.0
107,Thief,R,1981-03-27,123.0,0.0,7.4,11492915.0
108,Endless Love,R,1981-07-17,116.0,0.0,4.9,32492674.0
109,Time Bandits,PG,1981-11-06,110.0,0.0,7.0,42368025.0
110,The Four Seasons,PG,1981-05-22,107.0,0.0,6.8,50427646.0
111,Friday the 13th Part 2,R,1981-05-01,87.0,0.0,6.1,21722776.0
112,Scanners,R,1981-01-14,103.0,0.0,6.8,14225876.0
113,For Your Eyes Only,PG,1981-06-26,127.0,0.0,6.7,54813222.0
114,Halloween II,R,1981-10-30,92.0,0.0,6.5,25533818.0
115,Taps,PG,1981-12-25,126.0,0.0,6.8,35856053.0
116,Reds,PG,1981-12-25,195.0,0.0,7.3,40382659.0
117,On Golden Pond,PG,1982-02-12,109.0,0.0,7.6,119285432.0
118,The Fox and the Hound,G,1981-07-10,83.0,0.0,7.3,63456988.0
119,Chariots of Fire,PG,1982-04-09,125.0,0.0,7.2,59303359.0
120,Absence of Malice,PG,1981-12-18,116.0,0.0,6.9,40716963.0
121,Tarzan the Ape Man,Approved,1981-07-24,115.0,0.0,3.4,36565280.0
122,Victory,PG,1981-07-31,116.0,0.0,6.7,10853418.0
123,Arthur,PG,1981-07-17,97.0,0.0,6.9,95461682.0
124,My Dinner with Andre,PG,1981-10-11,110.0,0.0,7.8,5073.0
125,Caveman,PG,1981-04-17,91.0,0.0,5.8,15965924.0
126,Dead & Buried,R,1981-10-09,94.0,0.0,6.6,0.0
127,History of the World: Part I,R,1981-06-12,92.0,0.0,6.9,31672907.0
128,The Howling,R,1981-04-10,91.0,0.0,6.6,17985893.0
129,Dragonslayer,PG,1981-06-26,109.0,0.0,6.7,14110013.0
130,Cutter's Way,R,1982-02-10,109.0,0.0,6.9,1752634.0
131,Quest for Fire,R,1982-02-12,100.0,0.0,7.3,20962615.0
132,The Final Conflict,R,1981-03-20,108.0,0.0,5.6,20471382.0
133,Mommie Dearest,R,1981-09-25,129.0,0.0,6.7,19032261.0
134,Private Lessons,R,1981-06-10,87.0,0.0,5.2,26279000.0
135,The Postman Always Rings Twice,R,1981-03-20,122.0,0.0,6.6,12376625.0
136,Ragtime,PG,1981-12-25,155.0,0.0,7.3,14920781.0
137,Deadly Blessing,R,1981-08-14,100.0,0.0,5.6,8279042.0
138,Eyewitness,R,1981-02-13,103.0,0.0,6.0,6400000.0
139,Gallipoli,PG,1981-08-28,110.0,0.0,7.4,5732587.0
140,Outland,R,1981-05-22,109.0,0.0,6.6,17374595.0
141,Southern Comfort,R,1981-09-25,106.0,0.0,7.2,0.0
142,S.O.B.,R,1981-07-01,122.0,0.0,6.4,14867086.0
143,The Beyond,R,1983-11-11,87.0,0.0,6.8,123843.0
144,Ghost Story,R,1981-12-18,110.0,0.0,6.3,23371905.0
145,My Bloody Valentine,R,1981-02-11,90.0,0.0,6.3,5672031.0
146,The Funhouse,R,1981-03-13,96.0,0.0,5.9,7886857.0
147,One from the Heart,R,1982-02-11,107.0,0.0,6.5,636796.0
148,The French Lieutenant's Woman,R,1981-10-16,124.0,0.0,7.0,26890068.0
149,The Great Muppet Caper,G,1981-06-26,97.0,0.0,7.2,31206251.0
150,True Confessions,R,1981-09-25,108.0,0.0,6.3,12850276.0
151,Looker,PG,1981-10-30,93.0,0.0,6.1,0.0
152,Nighthawks,R,1981-04-10,99.0,0.0,6.4,19905359.0
153,Nice Dreams,R,1981-06-05,88.0,0.0,6.2,37000000.0
154,Sharky's Machine,R,1981-12-18,122.0,0.0,6.3,35610100.0
155,Neighbors,R,1981-12-18,94.0,0.0,5.6,29916207.0
156,Puberty Blues,R,1981-12-10,87.0,0.0,5.9,237000.0
157,Eye of the Needle,R,1981-07-24,112.0,0.0,7.1,17583634.0
158,Wolfen,R,1981-07-24,115.0,0.0,6.3,10626725.0
159,Student Bodies,R,1981-08-07,86.0,0.0,5.5,5165432.0
160,Prince of the City,R,1981-08-26,167.0,0.0,7.5,8124257.0
161,The Hand,R,1981-04-24,104.0,0.0,5.5,2447576.0
162,Continental Divide,PG,1981-09-18,103.0,0.0,6.2,15578237.0
163,Diva,R,1982-04-23,117.0,0.0,7.2,110014.0
164,Venom,R,1982-01-29,92.0,0.0,5.8,5229643.0
165,Fort Apache the Bronx,R,1981-02-06,125.0,0.0,6.7,29200000.0
166,Eyes of a Stranger,R,1981-03-27,84.0,0.0,6.0,1118634.0
167,Zorro: The Gay Blade,PG,1981-07-17,93.0,0.0,6.2,0.0
168,Under the Rainbow,PG,1981-07-31,98.0,0.0,5.4,18826490.0
169,Carbon Copy,PG,1981-09-25,92.0,0.0,5.6,9566593.0
170,The Incredible Shrinking Woman,PG,1981-01-30,88.0,0.0,5.5,20259961.0
171,The Night the Lights Went Out in Georgia,PG,1981-06-05,112.0,0.0,6.0,14923752.0
172,Quartet,R,1981-10-25,101.0,0.0,6.3,12042.0
173,Graduation Day,R,1981-05-01,96.0,0.0,4.9,0.0
174,Modern Problems,PG,1981-12-25,93.0,0.0,5.1,26154211.0
175,Pennies from Heaven,R,1982-01-01,108.0,0.0,6.5,9171289.0
176,American Pop,R,1981-02-13,96.0,0.0,7.2,0.0
177,The Legend of the Lone Ranger,PG,1981-05-22,98.0,0.0,5.1,12617845.0
178,Sphinx,PG,1981-02-11,118.0,0.0,5.2,2022771.0
179,Night School,R,1981-09-11,88.0,0.0,5.6,1169875.0
180,An Eye for an Eye,R,1981-08-14,106.0,0.0,5.5,0.0
181,Zoot Suit,R,1982-01-01,103.0,0.0,6.8,3256082.0
182,Rich and Famous,R,1981-10-09,117.0,0.0,5.9,14492125.0
183,Buddy Buddy,R,1981-12-11,96.0,0.0,6.5,7258543.0
184,Bustin' Loose,R,1981-05-22,94.0,0.0,6.1,31261269.0
185,Modern Romance,R,1981-03-13,93.0,0.0,7.0,2863642.0
186,Heartbeeps,PG,1981-12-18,78.0,0.0,4.3,2154696.0
187,Back Roads,R,1981-03-13,94.0,0.0,5.6,11809387.0
188,Take This Job and Shove It,PG,1981-05-15,100.0,0.0,5.0,17569027.0
189,Raggedy Man,R,1981-09-18,94.0,0.0,6.8,1976198.0
190,Whose Life Is It Anyway?,R,1982-01-22,119.0,0.0,7.3,8206145.0
191,Inchon,PG,1982-09-17,140.0,0.0,2.7,5200986.0
192,All Night Long,R,1981-03-06,87.0,0.0,5.5,4454295.0
193,The Pursuit of D.B. Cooper,PG,1981-11-13,100.0,0.0,5.6,3702028.0
194,Rollover,R,1981-12-11,116.0,0.0,5.4,10851261.0
195,Only When I Laugh,R,1981-09-25,120.0,0.0,6.5,25524778.0
196,Honky Tonk Freeway,PG,1981-08-21,107.0,0.0,5.2,2004742.0
197,Paternity,PG,1981-10-02,94.0,0.0,4.9,18838812.0
198,King of the Mountain,PG,1981-05-01,90.0,0.0,5.5,1791147.0
199,Scream,R,1981-01-01,82.0,0.0,2.9,0.0
200,The Devil and Max Devlin,PG,1981-03-06,96.0,0.0,5.0,16000000.0
201,The Amateur,R,1982-02-12,112.0,0.0,5.8,6892098.0
202,Longshot,TV-PG,1981-01-01,100.0,0.0,5.1,0.0
203,Comin' at Ya!,R,1981-07-24,91.0,0.0,5.1,12000000.0
204,Le Pont du Nord,Not Rated,1982-03-24,129.0,0.0,6.9,17110.0
205,Silence of the North,PG,1981-10-23,94.0,0.0,6.3,1622898.0
206,Fast Times at Ridgemont High,R,1982-08-13,90.0,0.0,7.2,27092880.0
207,Blade Runner,R,1982-06-25,117.0,0.0,8.1,41676878.0
208,The Thing,R,1982-06-25,109.0,0.0,8.1,19632053.0
209,Conan the Barbarian,R,1982-05-14,129.0,0.0,6.9,68851475.0
210,E.T. the Extra-Terrestrial,PG,1982-06-11,115.0,0.0,7.8,792910554.0
211,First Blood,R,1982-10-22,93.0,0.0,7.7,125212904.0
212,An Officer and a Gentleman,R,1982-08-13,124.0,0.0,7.0,129795554.0
213,Grease 2,PG,1982-06-11,115.0,0.0,4.4,15171476.0
214,Annie,PG,1982-06-18,127.0,0.0,6.6,57063861.0
215,Poltergeist,PG,1982-06-04,114.0,0.0,7.3,77142388.0
216,48 Hrs.,R,1982-12-08,96.0,0.0,6.9,78868508.0
217,Star Trek II: The Wrath of Khan,PG,1982-06-04,113.0,0.0,7.7,78912963.0
218,Paradise,R,1982-05-07,100.0,0.0,4.9,5588800.0
219,The Last American Virgin,R,1982-07-30,92.0,0.0,6.3,5829781.0
220,Sophie's Choice,R,1983-03-04,150.0,0.0,7.6,30036000.0
221,Gandhi,PG,1983-02-25,191.0,0.0,8.0,52767889.0
222,Tootsie,PG,1982-12-17,116.0,0.0,7.4,177200000.0
223,Tron,PG,1982-07-09,96.0,0.0,6.8,33000525.0
224,The Secret of NIMH,G,1982-07-16,82.0,0.0,7.6,14665733.0
225,The King of Comedy,PG,1983-02-18,109.0,0.0,7.8,2536242.0
226,Rocky III,PG,1982-05-28,99.0,0.0,6.8,125052686.0
227,The Beastmaster,PG,1982-08-20,118.0,0.0,6.2,14056528.0
228,Creepshow,R,1982-11-12,120.0,0.0,6.9,21028755.0
229,The Man from Snowy River,PG,1982-11-05,102.0,0.0,7.3,20659423.0
230,Pink Floyd: The Wall,R,1982-09-17,95.0,0.0,8.0,22265763.0
231,Cat People,R,1982-04-02,118.0,0.0,6.2,7000000.0
232,Fanny and Alexander,R,1982-12-17,188.0,0.0,8.1,6795771.0
233,Friday the 13th Part III,R,1982-08-13,95.0,0.0,5.7,36690067.0
234,Firefox,PG,1982-06-18,136.0,0.0,6.0,46708276.0
235,Halloween III: Season of the Witch,R,1982-10-22,98.0,0.0,5.0,14400000.0
236,The Dark Crystal,PG,1982-12-17,93.0,0.0,7.2,41630431.0
237,The Verdict,R,1982-12-17,129.0,0.0,7.7,53993738.0
238,Pieces,Not Rated,1983-09-23,85.0,0.0,6.1,2032311.0
239,Zapped!,R,1982-09-03,98.0,0.0,4.9,16897768.0
240,Six Pack,PG,1982-07-16,108.0,0.0,5.9,20225989.0
241,The World According to Garp,R,1982-07-23,136.0,0.0,7.2,29712172.0
242,Diner,R,1982-05-21,110.0,0.0,7.1,14099953.0
243,The Best Little Whorehouse in Texas,R,1982-07-23,114.0,0.0,6.0,69701637.0
244,The Year of Living Dangerously,PG,1983-02-18,115.0,0.0,7.1,10278575.0
245,Night Shift,R,1982-07-30,106.0,0.0,6.6,21095638.0
246,Summer Lovers,R,1982-07-16,98.0,0.0,5.7,4968000.0
247,Victor Victoria,PG,1982-03-19,134.0,0.0,7.6,28229046.0
248,The Last Unicorn,G,1982-11-19,92.0,0.0,7.4,6455330.0
249,The Entity,R,1983-02-04,125.0,0.0,6.7,13277558.0
250,Airplane II: the Sequel,PG,1982-12-10,85.0,0.0,6.2,27150534.0
251,The Toy,PG,1982-12-10,102.0,0.0,5.8,47118057.0
252,The House on Sorority Row,R,1983-07-28,91.0,0.0,6.0,10604986.0
253,Evil Under the Sun,PG,1982-03-05,117.0,0.0,7.1,6110670.0
254,The Sword and the Sorcerer,R,1982-04-30,99.0,0.0,5.6,39103425.0
255,Death Wish II,R,1982-02-19,89.0,0.0,6.0,16100000.0
256,Silent Rage,R,1982-04-02,103.0,0.0,5.5,10490791.0
257,Megaforce,PG,1982-06-25,99.0,0.0,3.7,5675599.0
258,Personal Best,R,1982-06-26,128.0,0.0,6.3,5672311.0
259,Dead Men Don't Wear Plaid,PG,1982-05-21,88.0,0.0,6.9,18196170.0
260,Amityville II: The Possession,R,1982-09-24,104.0,0.0,5.5,12534817.0
261,Missing,PG,1982-03-12,122.0,0.0,7.7,14000000.0
262,Frances,R,1983-03-11,140.0,0.0,7.3,0.0
263,The Seduction,R,1982-01-29,104.0,0.0,4.9,11378339.0
264,Cannery Row,PG,1982-02-12,120.0,0.0,6.7,5301539.0
265,Deathtrap,PG,1982-03-19,116.0,0.0,7.0,19282134.0
266,Tex,PG,1982-07-30,103.0,0.0,6.5,7400000.0
267,Time Walker,PG,1982-11-19,83.0,0.0,3.6,0.0
268,"I, the Jury",R,1982-04-22,111.0,0.0,5.9,1515578.0
269,Tempest,PG,1982-09-24,140.0,0.0,6.5,5005245.0
270,Young Doctors in Love,R,1982-07-16,96.0,0.0,5.5,30688860.0
271,My Favorite Year,PG,1982-10-08,92.0,0.0,7.4,20123620.0
272,Still of the Night,PG,1982-11-19,93.0,0.0,6.1,5979947.0
273,Parasite,R,1982-03-12,85.0,0.0,3.9,2270.0
274,Making Love,R,1982-03-05,113.0,0.0,6.9,11897978.0
275,Honkytonk Man,PG,1982-12-15,122.0,0.0,6.6,4484991.0
276,The Beast Within,R,1982-02-12,98.0,0.0,5.6,7742572.0
277,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,1983-04-06,109.0,0.0,7.2,840958.0
278,The Final Option,R,1983-09-16,125.0,0.0,6.4,2666873.0
279,Trail of the Pink Panther,PG,1982-12-17,96.0,0.0,5.0,9056073.0
280,The Sender,R,1982-10-22,91.0,0.0,6.0,1054328.0
281,The Border,R,1982-02-12,108.0,0.0,6.4,6118683.0
282,Kiss Me Goodbye,PG,1982-12-22,101.0,0.0,6.0,15782759.0
283,A Midsummer Night's Sex Comedy,PG,1982-07-16,88.0,0.0,6.6,9077269.0
284,Vice Squad,R,1982-01-22,97.0,0.0,6.5,13253583.0
285,Best Friends,PG,1982-12-17,116.0,0.0,5.5,36821203.0
286,Shoot the Moon,R,1982-02-19,124.0,0.0,6.9,9217530.0
287,Lookin' to Get Out,R,1983-06-30,105.0,0.0,5.1,946461.0
288,Barbarosa,PG,1982-02-19,90.0,0.0,6.4,1736123.0
289,Visiting Hours,R,1982-05-28,103.0,0.0,5.7,13258670.0
290,A Little Sex,R,1982-04-02,95.0,0.0,4.9,2370376.0
291,Class Reunion,R,1982-10-29,84.0,0.0,4.7,10054150.0
292,Hanky Panky,PG,1982-06-04,110.0,0.0,5.6,9823934.0
293,Author! Author!,PG,1982-06-18,110.0,0.0,6.2,13111101.0
294,Split Image,R,1982-10-03,110.0,0.0,6.5,263635.0
295,The Challenge,R,1982-07-23,108.0,0.0,6.3,2977706.0
296,The Soldier,R,1982-08-27,96.0,0.0,5.3,6328816.0
297,Wrong Is Right,R,1982-05-14,117.0,0.0,5.7,3583513.0
298,Six Weeks,PG,1982-12-17,107.0,0.0,5.7,6668025.0
299,The State of Things,,1983-02-18,121.0,0.0,7.0,3700.0
300,Jekyll and Hyde... Together Again,R,1982-10-01,87.0,0.0,6.2,3792188.0
301,Forced Vengeance,R,1982-07-30,90.0,0.0,5.6,6660333.0
302,The Missionary,R,1982-11-05,90.0,0.0,6.2,7241180.0
303,The Escape Artist,PG,1982-05-28,94.0,0.0,6.2,143369.0
304,Night Crossing,PG,1982-02-05,107.0,0.0,6.5,8000000.0
305,Endangered Species,R,1982-09-10,97.0,0.0,5.9,1474249.0
306,Things Are Tough All Over,R,1982-08-04,90.0,0.0,6.0,21134374.0
307,Homework,R,1982-08-27,90.0,0.0,3.5,2914328.0
308,Jinxed!,R,1982-10-22,103.0,0.0,4.7,2869638.0
309,The Return of Martin Guerre,Not Rated,1983-08-26,112.0,0.0,7.4,3723036.0
310,They Call Me Bruce,PG,1982-11-12,87.0,0.0,5.7,16894678.0
311,Some Kind of Hero,R,1982-04-02,97.0,0.0,5.8,23671186.0
312,Hammett,PG,1982-09-17,97.0,0.0,6.5,42914.0
313,Five Days One Summer,PG,1982-01-01,108.0,0.0,6.1,199078.0
314,Penitentiary II,R,1982-04-02,108.0,0.0,4.4,3178542.0
315,If You Could See What I Hear,PG,1982-04-23,103.0,0.0,6.8,8693512.0
316,Partners,R,1982-04-30,93.0,0.0,5.3,6062898.0
317,Richard Pryor: Live on the Sunset Strip,R,1982-03-12,82.0,0.0,7.7,36299720.0
318,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,1982-11-19,74.0,0.0,7.1,78350.0
319,Monsignor,R,1982-10-22,121.0,0.0,5.1,12408066.0
320,"Yes, Giorgio",PG,1982-09-24,110.0,0.0,3.9,2279543.0
321,I Ought to Be in Pictures,PG,1982-03-26,108.0,0.0,6.2,6968359.0
322,La traviata,G,1983-02-18,109.0,0.0,7.2,3783329.0
323,Fighting Back,R,1982-05-21,98.0,0.0,6.1,3355948.0
324,Kamikaze 89,Not Rated,1982-07-16,106.0,0.0,5.8,22440.0
325,The Wizard of Oz,Not Rated,1982-10-06,78.0,0.0,6.8,0.0
326,Heidi's Song,G,1982-11-19,94.0,0.0,6.3,5124391.0
327,Love Child,R,1982-10-15,96.0,0.0,5.7,0.0
328,Boardinghouse,R,1983-10-21,98.0,0.0,3.8,0.0
329,Experience Preferred... But Not Essential,PG,1982-12-22,80.0,0.0,7.0,0.0
330,The Personals,PG,1982-10-01,90.0,0.0,6.7,0.0
331,Lonely Hearts,R,1982-10-21,106.0,0.0,6.8,777087.0
332,Scarface,R,1983-12-09,170.0,0.0,8.3,65884703.0
