genre_id,genre_name
0,Drama
1,Adventure
2,Action
3,Comedy
4,Horror
5,Biography
6,Crime
7,Fantasy
8,Family
9,Sci-Fi
10,Animation
11,Romance
12,Music
13,Western
14,Thriller
15,History
16,Mystery
17,Sport
18,Musical
19,Documentary
20,Short
21,0
