genre_id,genre_name
937,Action
938,Action
939,Action
940,Adventure
941,Comedy
942,Action
943,Sci-Fi
944,Comedy
945,Comedy
946,Comedy
947,Drama
948,Comedy
949,Comedy
950,Animation
951,Action
952,Drama
953,Comedy
954,Crime
955,Action
956,Comedy
957,Comedy
958,Comedy
959,Crime
960,Crime
961,Action
962,Drama
963,Drama
964,Comedy
965,Drama
966,Comedy
967,Action
968,Comedy
969,Action
970,Comedy
971,Horror
972,Comedy
973,Comedy
974,Horror
975,Biography
976,Action
977,Drama
978,Crime
979,Comedy
980,Comedy
981,Comedy
982,Comedy
983,Drama
984,Drama
985,Comedy
986,Action
987,Action
988,Comedy
989,Comedy
990,Action
991,Crime
992,Adventure
993,Drama
994,Action
995,Action
996,Comedy
997,Adventure
998,Drama
999,Drama
1000,Comedy
1001,Comedy
1002,Biography
1003,Comedy
1004,Comedy
1005,Comedy
1006,Comedy
1007,Drama
1008,Drama
1009,Drama
1010,Comedy
1011,Adventure
1012,Animation
1013,Comedy
1014,Drama
1015,Action
1016,Action
1017,Action
1018,Comedy
1019,Action
1020,Comedy
1021,Crime
1022,Action
1023,Thriller
1024,Animation
1025,Action
1026,Action
1027,Drama
1028,Comedy
1029,Drama
1030,Family
1031,Drama
1032,Drama
1033,Biography
1034,Action
1035,Action
1036,Drama
1037,Action
1038,Drama
1039,Drama
1040,Comedy
1041,Drama
1042,Action
1043,Drama
1044,Adventure
1045,Comedy
1046,Drama
1047,Action
1048,Action
1049,Drama
1050,Adventure
1051,Crime
1052,Adventure
1053,Comedy
1054,Action
1055,Action
1056,Comedy
1057,Action
1058,Drama
1059,Horror
1060,Action
1061,Action
1062,Comedy
1063,Drama
1064,Action
1065,Crime
1066,Horror
1067,Comedy
1068,Adventure
1069,Crime
1070,Biography
1071,Fantasy
1072,Comedy
1073,Comedy
1074,Comedy
1075,Action
1076,Action
1077,Comedy
1078,Comedy
1079,Comedy
1080,Comedy
1081,Action
1082,Action
1083,Action
1084,Biography
1085,Crime
1086,Comedy
1087,Biography
1088,Comedy
1089,Action
1090,Horror
1091,Drama
1092,Drama
1093,Comedy
1094,Comedy
1095,Fantasy
1096,Comedy
1097,Horror
1098,Comedy
1099,Drama
1100,Comedy
